CENTRE VILLE,Q1_1,Q1_1_A,Q1_1_B,Q1_1_C,Q1_2,Q1_2_A,Q1_2_B,Q1_3_C,Q2_1,Q2_2_1,Q2_2_2,Q2_3_1,Q2_3_2,Q2_3,Q2_4,Q2_5_1,Q2_5_2,Q2_6_1,Q2_6_2,Q3_1,Q3_2,Q3_3_1,Q3_3_2,Q4_1_A,Q4_1_B,Q4_2_A,Q4_2_B,Q4_3,Q4_4,Q4_4_AUTRES,Q5_1,Q5_2,Q5_3
Yaounde,Un quartier de la ville de Yaounde,NSIMALEN,ECOCO2,,Un quartier de la ville de Yaounde,NSIMALEN,ECOCO2,,Par taxi,NSIMALEN,ECOCO2,MVAN,CARREFOUR,Non,,,,,,Non,,,,5,5 € 10 minutes,50,30 € 60 min,500,Courses,,Entre 26 et 35 ans,Entre 30 001 et 100 000,Homme
Yaounde,Un quartier de la ville de Yaounde,ETOA MEKI,FOYER BANJOUN,,Un quartier de la ville de Yaounde,ETOA MEKI,FOYER BANJOUN,,Par taxi,ETOA MEKI,FOYER BANJOUN,NLONGKAK,RON POIN 2,Non,,,,,,Non,,,,6,5 € 10 minutes,50,30 € 60 min,300,Demarches administratives et/ou sante,,Entre 36 et 45 ans,Entre 30 001 et 100 000,Femme
Yaounde,Un quartier de la ville de Yaounde,EKIE,CONCENTRE,,Un quartier de la ville de Yaounde,AHALA,GARAGE CAMION,,Par taxi,EKIE,CONCENTRE,AHALA,GARAGE,Non,,,,,,Non,,,,5,5 € 10 minutes,30,30 € 60 min,250,"Visite famille, amis",,Entre 26 et 35 ans,Moins de 30 000,Homme
Yaounde,Un quartier de la ville de Yaounde,ETOA MEKI,CARREFOUR ETOA-MEKI,,Un quartier de la ville de Yaounde,TKA,PMI TIKA,,A pied,,,,,Non,,,,,,Oui,Par taxi,TSINGA,PMI TIKA,15,10 € 20 minutes,30,30 € 60 min,500,Travail,,Entre 36 et 45 ans,Moins de 30 000,Homme
Yaounde,Un quartier de la ville de Yaounde,NGOA EKELLE,UNIVERSITE,,Un quartier de la ville de Yaounde,MVOG BETSI,HOPITALE,,A pied,,,,,Non,,,,,,Non,,,,5,5 € 10 minutes,60,Plus de 1heure,200,"Visite famille, amis",,Entre 26 et 35 ans,Moins de 30 000,Homme
Yaounde,Un quartier de la ville de Yaounde,NKOLKAK,NKOLKAK,,Un quartier de la ville de Yaounde,TSINGA,TRADEX TSINGA,,Par moto / moto taxi,CARREFOUR MEEC,CARREFOUR MEEC,MOKOLO,MOKOLO,Non,,,,,,Non,,,,5,5 € 10 minutes,7,Moins de 15 min,200,Travail,,Entre 18 et 25 ans,Moins de 30 000,Homme
Yaounde,Un quartier de la ville de Yaounde,BARRIERE,DIDEROT,,Un quartier de la ville de Yaounde,NOMAYOS,ARAB CONSTRACTOR,,Par taxi,BARRIERE,BARRIERE,NOMAYOS,ARAB CONSTRACTOR,Non,,,,,,Non,,,,15,10 € 20 minutes,15,15 € 30 min,300,Demarches administratives et/ou sante,,Entre 45 et 54 ans,Entre 100 001 et 300 000,Homme
Yaounde,Un quartier de la ville de Yaounde,MVOG BETSI,NVOC-BETI,,Un quartier de la ville de Yaounde,BEATITUDE,STATION BEATITUDE,,Par moto / moto taxi,NVOC- BETI,NVOC-BETI,CARREFOUR MEEC,CARREFOURMEEC,Non,,,,,,Oui,Par taxi,BEATITUDE,STATION BEATITUDE,10,10 € 20 minutes,30,30 € 60 min,600,Autres,recupere son vehicule,Entre 36 et 45 ans,Moins de 30 000,Homme
Yaounde,Un quartier de la ville de Yaounde,NIOM 2,STADE,,Un quartier de la ville de Yaounde,NKOLODOM,LA FERME,,Par moto / moto taxi,MESSASSI,DISPENSSAISE,NKOLODOM,FERME,Oui,Par moto / moto taxi,NIOM,ECOLE,MESSASSI,DIPENSSASI,Non,,,,25,Plus de 20 minutes,10,Moins de 15 min,500,"Visite famille, amis",,Entre 36 et 45 ans,Entre 30 001 et 100 000,Homme
Yaounde,Un quartier de la ville de Yaounde,MVAN,ELIG EDO,,Un quartier de la ville de Yaounde,DAMAS,TOTAL DAMAS,,Par taxi,MVAN,POSTE DE POLICE,AHALA,BARRIERE,Oui,A pied,MVAN,CARREFOUR SOCSUBA,MVAN,POSTE DE POLICE,Oui,Par taxi,DAMAS,TOTAL,1,Moins de 5 min,45,30 € 60 min,200,"Visite famille, amis",,Plus de 65 ans,Entre 100 001 et 300 000,Femme
Yaounde,Un quartier de la ville de Yaounde,CARREFOUR MEEC,BAOBA,,Un quartier de la ville de Yaounde,MINI - FERME,MAISON MERE,,Par taxi,CARREFOUR MEEC,BAOBA,MINI - FERME,MAISON MERE,Non,,,,,,Non,,,,20,Plus de 20 minutes,20,15 € 30 min,150,Courses,,Entre 18 et 25 ans,Entre 30 001 et 100 000,Homme
Yaounde,Un quartier de la ville de Yaounde,BISCUITERIE,BOULANGERIE FRANCAISE,,Un quartier de la ville de Yaounde,MELEN,MONTEE DU PARC,,Par moto / moto taxi,BISCUITERIE,DEVANT LA BOULANGERIE,CARREFOUR MEEC,CARREFOUR,Non,,,,,,Oui,Par taxi,MADAGASCAR,FLAMENCO,2,Moins de 5 min,10,Moins de 15 min,700,Autres,Etudes,Moins de 18 ans,Entre 30 001 et 100 000,Femme
Yaounde,Un quartier de la ville de Yaounde,NSIMEYONG,DERRIERE LA CHAPPELLE,,Un quartier de la ville de Yaounde,FOUDA,CLINIQUR FOUDA,,Par taxi,NSIMEYONG,CHAPPELLE,POSTE CENTRALE,SONEL,Non,,,,,,Oui,Par taxi,QUARTIER FOUDA,CLINIQUE FOUDA,5,5 € 10 minutes,10,Moins de 15 min,750,Demarches administratives et/ou sante,,Entre 36 et 45 ans,Entre 300 001 et 500 000,Femme
Yaounde,Un quartier de la ville de Yaounde,BRASSERIE,DERRRIERE BRASSERIE,,Un quartier de la ville de Yaounde,BRASSERIE,DERRIERE BRASSERIE,,Par taxi,BRASSERIE,AVANT USINE BRASSERIE,MVAN,CARREFOUR,Non,,,,,,Non,,,,5,5 € 10 minutes,15,15 € 30 min,250,"Visite famille, amis",,Entre 26 et 35 ans,Entre 100 001 et 300 000,Homme
Yaounde,Un quartier de la ville de Yaounde,MVOG ADA,BOUKARI,,Un quartier de la ville de Yaounde,NKOLGA,RUENSIMALEN,,A pied,,,,,Non,,,,,,Oui,Par taxi,NKOL NDA,RUE S-NSOMALEN,10,10 € 20 minutes,100,Plus de 1heure,400,Travail,,Entre 26 et 35 ans,Entre 30 001 et 100 000,Femme
Yaounde,Un quartier de la ville de Yaounde,LEBOUDI,ARRET BUT LEBOUTI,,Un quartier de la ville de Yaounde,ANGUISSA,CARREFOUR ANGUISSA,,Par Bus STACY,LEBOUDI,ARRET DE BUT,POSTE CENTRALE,POSTE CENTRE,Non,,,,,,Oui,Par taxi,ANGUISSA,CARREFOUR ANGUISSA,45,Plus de 20 minutes,45,30 € 60 min,400,"Visite famille, amis",,Entre 36 et 45 ans,Entre 30 001 et 100 000,Homme
Yaounde,Un quartier de la ville de Yaounde,COLLEGE FOTSO,ENTRE BEAC,,Un quartier de la ville de Yaounde,MVAN,BR A SSERIE,,A pied,,,,,Non,,,,,,Oui,Par taxi,MVAN,BRASSERIE,2,Moins de 5 min,20,15 € 30 min,200,Travail,,Moins de 18 ans,Entre 100 001 et 300 000,Homme
Yaounde,Un quartier de la ville de Yaounde,NKO NDONGO,PHOTO JEEUNES,,Un quartier de la ville de Yaounde,NKOLBISSON,FOTO JEUNES,,Par taxi,NKO NDONGO,FOTO JEUNES,NLONGKAK,ROND POINT,Non,,,,,,Non,,,,2,Moins de 5 min,25,15 € 30 min,250,Autres,Etudes,Entre 18 et 25 ans,Moins de 30 000,Homme
Yaounde,Un quartier de la ville de Yaounde,EKOUM DOUM,OLEZOA,,Un quartier de la ville de Yaounde,EKOUM DOUM,IMMEUBLE HAPPY,,Par taxi,EKOUM DOUM,IMMEUBLE HAPPY,ODZA,TERMINUS,Non,,,,,,Non,,,,5,5 € 10 minutes,20,15 € 30 min,300,Travail,,Entre 36 et 45 ans,Entre 300 001 et 500 000,Homme
Yaounde,Un quartier de la ville de Yaounde,TKC,COLLEGE FLEMIE,,Un quartier de la ville de Yaounde,SIMBOCK,ENTREE VALLEE,,A pied,,,,,Non,,,,,,Non,,,,30,Plus de 20 minutes,55,30 € 60 min,200,Demarches administratives et/ou sante,,Moins de 18 ans,Moins de 30 000,Femme
Yaounde,Un quartier de la ville de Yaounde,NKOA MBANG,CARREFOUR NKOA MBANG,,Un quartier de la ville de Yaounde,BABA,BABA,,Un particulier,NKOA MBANG,CARREFOUR NKOA MBANG,OMNISIPORT,CARREFOUR OMINDPORT,Non,,,,,,Non,,,,10,10 € 20 minutes,25,15 € 30 min,500,"Visite famille, amis",,Entre 45 et 54 ans,Entre 30 001 et 100 000,Femme
Yaounde,Un quartier de la ville de Yaounde,NKOLBISSON,NOUVELLE ROUTE NKOLBISSON,,Un quartier de la ville de Yaounde,CARREFOUR REGIS,CARREFOUR REGIS,,A pied,,,,,Non,,,,,,Oui,Par taxi,REGIS,CARREFOUR REGIS,1,Moins de 5 min,30,30 € 60 min,300,Autres,Etudes,Moins de 18 ans,Entre 30 001 et 100 000,Femme
Yaounde,Un quartier de la ville de Yaounde,NFANDENA,NFANDENA,,Un quartier de la ville de Yaounde,MBALLA 2,REGIE,,Par taxi,NFANDEN A,NFANDENA,MOBIL,OMNISIPORT,Non,,,,,,Non,,,,3,Moins de 5 min,20,15 € 30 min,200,Courses,,Entre 18 et 25 ans,Entre 100 001 et 300 000,Femme
Yaounde,Un quartier de la ville de Yaounde,NKOLMESSENG,SOUS PREFECTURE DE YOUNDE 7,,Un quartier de la ville de Yaounde,OBILI,CAPELLE OBOLI,,Par taxi,OBILI,CHAPPELLE OBILI,MEEEC,CARREFOUR MEEC,Non,,,,,,Oui,Un particulier,OYOM ABANG,MARCHE,2,Moins de 5 min,30,30 € 60 min,1000,Travail,,Entre 45 et 54 ans,Entre 30 001 et 100 000,Homme
Yaounde,Un quartier de la ville de Yaounde,FOURGEROLLES,"PETIT MARCHE FOUGEROLLES, LYCEE NKOL MEKONG",,Un quartier de la ville de Yaounde,FOURGEROLLES,MARCHE DERRIERLE LYCEE,,A pied,,,,,Non,,,,,,Non,,,,0,Moins de 5 min,2,Moins de 15 min,250,"Activites de loisirs, sportives,/ voyages",,Entre 18 et 25 ans,Moins de 30 000,Femme
Yaounde,Un quartier de la ville de Yaounde,MBANKOLO,CARREFOUR NBANGOLO,,Un quartier de la ville de Yaounde,OBA,HOPITAL OBA,,Par taxi,MBANKOLO,CARREFOUR NBANGOLO,CARREFOUR MEEC,CARREFOUR MEEC,Non,,,,,,Oui,Par taxi,OBACK,HOPITAL,30,Plus de 20 minutes,1,Moins de 15 min,1000,Autres,hopital,Entre 18 et 25 ans,Moins de 30 000,Femme
Yaounde,Un quartier de la ville de Yaounde,MVOLYE,BASILIQUE,,Un quartier de la ville de Yaounde,SANTA BARBARA,NGOUSDO,,Par taxi,MVOLYE,SAINT ANDRE,OMNISIPORT,MOBIL,Non,,,,,,Non,,,,10,10 € 20 minutes,45,30 € 60 min,400,Autres,retour a la maison,Moins de 18 ans,Entre 100 001 et 300 000,Femme
Yaounde,Un quartier de la ville de Yaounde,SANTA BARBARA,CENT METRE APRES LES CHATEAUX,,Un quartier de la ville de Yaounde,DRAGAGE,CARREFOUR SNH,,Par moto / moto taxi,SANTA BARBARA,AU NIVEAU DU CHATEAU,A REGI,ETOUDI,Non,,,,,,Oui,Par moto / moto taxi,DRAGAGE,CARREFOUR SNH,10,10 € 20 minutes,20,15 € 30 min,350,Travail,,Entre 18 et 25 ans,Entre 30 001 et 100 000,Femme
Yaounde,Un quartier de la ville de Yaounde,NSIMALEN,NKOL NDA,,Un quartier de la ville de Yaounde,NGOUSSO,DERRIERE PHARMACIE BLEU,,Par taxi,NSIMALEN,NKOL NDA,POSTE CENTRALE,CATHEDRALE,Non,,,,,,Oui,Par taxi,NGOUSSO,DERRIERE PHARMACIE BLEU,5,5 € 10 minutes,10,Moins de 15 min,1500,Autres,Etudes,Moins de 18 ans,Entre 300 001 et 500 000,Femme
Yaounde,Un quartier de la ville de Yaounde,MENDONG,NKOKDOUE,,Un quartier de la ville de Yaounde,COLLEGE FMI,MAISON BLABCHE,,Par taxi,CITE SIK,MENDONG,ACACIA,CARREFOUR,Non,,,,,,Oui,Par taxi,DAMAS,CITE SIC MAISON BLANCHE,2,Moins de 5 min,100,Plus de 1heure,300,Travail,,Entre 36 et 45 ans,Entre 100 001 et 300 000,Homme
Yaounde,Un quartier de la ville de Yaounde,MBANKOLO,DERRIERE ELOIN,,Un quartier de la ville de Yaounde,NKOL BIKOK,NKOL BIKOK,,Par moto / moto taxi,MBANKOLO,DERRIERE ELOIN,CARREFOUR NBANKOLO,CARREFOUR,Non,,,,,,Oui,Par taxi,NKOL BIKOK,NKOL BIKOK,10,10 € 20 minutes,45,30 € 60 min,200,Travail,,Entre 55ans et 64 ans,Entre 30 001 et 100 000,Homme
Yaounde,Un quartier de la ville de Yaounde,MOKOLO,MARCHE MOKOLO,,Un quartier de la ville de Yaounde,MVOG BETSI,CARREFOUR MVOG BETSI,,Par taxi,MOKOLO,MARCHE MOKOLO,MELEN,MARCHE MELEN,Non,,,,,,Non,,,,5,5 € 10 minutes,10,Moins de 15 min,200,"Activites de loisirs, sportives,/ voyages",,Entre 45 et 54 ans,Entre 100 001 et 300 000,Homme
Yaounde,Un quartier de la ville de Yaounde,TONGOLO,SUPER CONFORT,,Un quartier de la ville de Yaounde,TSINGA,8EME,,Par taxi,TONGOLO,SUPER CONFORT,NLONGKAK,ROND POINT,Non,,,,,,Non,,,,10,10 € 20 minutes,20,15 € 30 min,400,Courses,,Entre 55ans et 64 ans,Entre 100 001 et 300 000,Homme
Yaounde,Un quartier de la ville de Yaounde,MVOG EKOUSSOU,GENDARMERIE,,Un quartier de la ville de Yaounde,OYOM ABANG,CAMP SONNEL,,Par moto / moto taxi,MVOG EKOUSSOU,GENDARMERIE,ETOUDI,MARCHE,Non,,,,,,Non,,,,25,Plus de 20 minutes,95,Plus de  1heure,750,Travail,,Entre 45 et 54 ans,Entre 300 001 et 500 000,Femme
Yaounde,Un quartier de la ville de Yaounde,FEBE,VILLAGE,,Un quartier de la ville de Yaounde,NKOM-KANA,DECENTE NKOM-KANA,,Par taxi,FEBE,MONTE FEBE,NKOM-KANA,DECENTE NKOM-KANA,Oui,Par taxi,MBANKOLO,CARREFOUR,NKOM-KANA,DECENTE NKOM-KANA,Non,,,,10,10 € 20 minutes,35,30 € 60 min,200,Courses,,Entre 55ans et 64 ans,Entre 30 001 et 100 000,Femme
Yaounde,Un quartier de la ville de Yaounde,MBANKOLO,FOMENOR,,Un quartier de la ville de Yaounde,OLEZOA,OLEZOA,,Par moto / moto taxi,FOMENOR,MBANKOLO,MBANKOLO,MBANKOLO,Non,,,,,,Oui,Par taxi,OLEZOA,AMBASSADE DE FRANCE,10,10 € 20 minutes,30,30 € 60 min,300,Travail,,Entre 36 et 45 ans,Entre 100 001 et 300 000,Homme
Yaounde,Un quartier de la ville de Yaounde,BRASSERIE,CARREFOUR DES CAVEAUX,,Un quartier de la ville de Yaounde,MBANKOLO,PANTHERE HOTEL,,Par taxi,BRASSERIE,CARREFOUR CAVEAUX,POSTE CENTRALE,CAMTEL,Non,,,,,,Oui,Par taxi,MBANKOLO,PANTHERE HOTEL,2,Moins de 5 min,30,30 € 60 min,350,"Visite famille, amis",,Entre 18 et 25 ans,Entre 100 001 et 300 000,Homme
Yaounde,Un quartier de la ville de Yaounde,JOUVENCE,A LA MONTE,,Un quartier de la ville de Yaounde,JOUVENCE,A LA MONTE,,Par taxi,JOUVENCE,A LA MONTE,POSTE CENTRALE,SONEL,Non,,,,,,Non,,,,15,10 € 20 minutes,25,15 € 30 min,250,Courses,,Entre 18 et 25 ans,Moins de 30 000,Homme
Yaounde,Un quartier de la ville de Yaounde,AHALA,BAMBIS AHALA,,Un quartier de la ville de Yaounde,ETOA,CHEZ LE GOUVENEUR,,A pied,,,,,Non,,,,,,Oui,Par moto / moto taxi,ETOA,CHEZ LE GOUVENEUR,2,Moins de 5 min,5,Moins de 15 min,400,"Visite famille, amis",,Moins de 18 ans,Moins de 30 000,Homme
Yaounde,Un quartier de la ville de Yaounde,MVOG ADA,COLLEGE MONTESQUIEU,,Un quartier de la ville de Yaounde,ETOUG EBE,ETOUG EBE CENTRE,,Par moto / moto taxi,CARREFOUR NSAM,CARREFOUR NSAM,SIMBOCK,ENTREE SIMBOCK,Non,,,,,,Non,,,,10,10 € 20 minutes,30,30 € 60 min,1000,"Visite famille, amis",,Entre 18 et 25 ans,Moins de 30 000,Femme
Yaounde,Un quartier de la ville de Yaounde,MENDONG,DERRIERE LE CMP,,Un quartier de la ville de Yaounde,MVAN,GENERALE VOYAGE,,Par taxi,MINDONG,DERRIERE LE CAMP,SIMBOCK,ENTREE SIMBOCK,Non,,,,,,Oui,Par taxi,MVAN,AGENCE GENERAL,30,Plus de 20 minutes,20,15 € 30 min,700,"Activites de loisirs, sportives,/ voyages",,Entre 26 et 35 ans,Entre 30 001 et 100 000,Homme
Yaounde,Un quartier de la ville de Yaounde,ETOUDI,BILONO A COTE DU SANCTUAIRE ETOUDI,,Un quartier de la ville de Yaounde,BILONO ETOUDI,COTE DU SENTUAIRE,,Par moto / moto taxi,VILLAGE,EMANA VILLAGE,EMANA,BONNE FONTAINE,Non,,,,,,Oui,Par taxi,ETOUDI,CHAPPELLE,2,Moins de 5 min,15,15 € 30 min,800,Travail,,Entre 26 et 35 ans,Entre 30 001 et 100 000,Femme
Yaounde,Un quartier de la ville de Yaounde,NKOZOA,LAC,,Un quartier de la ville de Yaounde,NKOLANGA,IAI,,Par taxi,NKOZOA,LAC,EKOUNOU,CARREFOUR,Non,,,,,,Oui,Par moto / moto taxi,NKOLANGA,IAI,10,10 € 20 minutes,80,Plus de 1heure,800,Autres,Etudes,Entre 18 et 25 ans,Entre 300 001 et 500 000,Homme
Yaounde,Un quartier de la ville de Yaounde,NKO NDONGO,INSTITUT SAINTOU,,Un quartier de la ville de Yaounde,ELIG EFFA,MONTE,,Par taxi,NKO NDONGO,STADE,POSTE CENTRALE,C A MTEL,Non,,,,,,Oui,Par taxi,MOKOLO,PROGRES,5,5 € 10 minutes,30,30 € 60 min,300,"Activites de loisirs, sportives,/ voyages",,Entre 18 et 25 ans,Entre 100 001 et 300 000,Homme
Yaounde,Un quartier de la ville de Yaounde,TONGOLO,PHARMACIE,,Un quartier de la ville de Yaounde,TONGOLO,TONGOLO PHARMACIE,,A pied,,,,,Non,,,,,,Non,,,,2,Moins de 5 min,30,30 € 60 min,400,Courses,,Entre 36 et 45 ans,Entre 300 001 et 500 000,Femme
Yaounde,Un quartier de la ville de Yaounde,ETOA,BOCOM ETOA,,Un quartier de la ville de Yaounde,MVOG BETSI,BRIGARDE MVOG BETSI,,Par moto / moto taxi,ETOA,BOCOM ETOA,BARRIERE,CARREFOUR BARRIERE,Non,,,,,,Non,,,,25,Plus de 20 minutes,100,Plus de  1heure,500,Travail,,Entre 26 et 35 ans,Entre 100 001 et 300 000,Homme
Yaounde,Un quartier de la ville de Yaounde,NGOUSSO,DERRIERE LA PHARMACIE,,Un quartier de la ville de Yaounde,BITOTOL,BITOTOL,,Par taxi,NGOUSSO,PHARMARCIE BLUE,POSTE CENTRALE,POSTE CENTRALE,Non,,,,,,Non,,,,5,5 € 10 minutes,5,Moins de 15 min,1000,Travail,,Entre 45 et 54 ans,Entre 30 001 et 100 000,Homme
Yaounde,Un quartier de la ville de Yaounde,CARRIERE,MANGUIER,,Un quartier de la ville de Yaounde,LEBOUDI,DERRIERE LA SAVONNERIE,,Par taxi,MADAGASCAR,MADAGASCAR,CARREFOUR MEEC,CARREFOUR MEEC,Oui,Par moto / moto taxi,CARRIERE,CARRIERE,MADAGASCAR,MADAGASCAR,Non,,,,10,10 € 20 minutes,10,Moins de 15 min,1000,Travail,,Entre 36 et 45 ans,Moins de 30 000,Femme
Yaounde,Un quartier de la ville de Yaounde,MELEN,GP MELEN,,Un quartier de la ville de Yaounde,MADASCACAR,MADASCACAR,,Par moto / moto taxi,CARREFOUR MEEC,CARREFOUR MEEC,MADAGASCAR,MADASCACAR,Non,,,,,,Non,,,,2,Moins de 5 min,20,15 € 30 min,200,Autres,Etudes,Moins de 18 ans,Moins de 30 000,Homme
Yaounde,Un quartier de la ville de Yaounde,AWAE,ESCALIER,,Un quartier de la ville de Yaounde,BITENG,MAETUR,,Un particulier,AWAE,ESCALIER,EKOUNOU,CARREFOUR,Non,,,,,,Oui,Par taxi,BITENG,MAETUR,2,Moins de 5 min,15,15 € 30 min,200,Courses,,Entre 18 et 25 ans,Plus de 500 001,Femme
Yaounde,Un quartier de la ville de Yaounde,ODZA,COLEGE,,Un quartier de la ville de Yaounde,BARRIERE,COLEGE DIDERO,,Par taxi,ODZA,COLLEGE ADVENTISTE,BARRIERE,CARREFOUR,Non,,,,,,Oui,Par taxi,BARRIERE,COLLEGE DIDETO,2,Moins de 5 min,15,15 € 30 min,200,Autres,Etudes,Moins de 18 ans,Plus de 500 001,Femme
Yaounde,Un quartier de la ville de Yaounde,ETOUDI,JEAN TABI,,Un quartier de la ville de Yaounde,FEBE,VILLAGE,,A pied,,,,,Non,,,,,,Non,,,,5,5 € 10 minutes,35,30 € 60 min,900,Autres,Etudes,Moins de 18 ans,Entre 300 001 et 500 000,Femme
Yaounde,Un quartier de la ville de Yaounde,OLEMBE,DJANASSI,,Un quartier de la ville de Yaounde,MINBOMAN,DERIERE L HOTEL,,Par taxi,OLEMBE,DISPANSAIRE MESSA,MINBOMAN,TERMINUS,Oui,Par moto / moto taxi,OLEMBE,DJANASSI,OLEMBE,DISPENSAIRE,Non,,,,60,Plus de 20 minutes,120,Plus de  1heure,900,Travail,,Entre 26 et 35 ans,Entre 30 001 et 100 000,Homme
Yaounde,Un quartier de la ville de Yaounde,MELEN,MELEN,,Un quartier de la ville de Yaounde,MONGONAM,MOKONAM,,Par moto / moto taxi,MONGONAM,MONGONAM,GP MELEN,GP MELEN,Non,,,,,,Non,,,,2,Moins de 5 min,15,15 € 30 min,100,Autres,Etudes,Moins de 18 ans,Moins de 30 000,Homme
Yaounde,Un quartier de la ville de Yaounde,NKOZOA,ENTREE CHAMP DE TIR,,Un quartier de la ville de Yaounde,NKOLBISSON,LYCEE TECHNIQUE DE NKOLBISSON,,Un particulier,NKOZOA,ENTREE CHAMP DE TIR,ROND POINT NLONGKAK,ROND POINT NLONGKAK,Oui,Par taxi,ROND POINT NLONGKAK,ROND POINT NLONGKAK,MOKOLO,NIKI MOKOLO,Oui,Par Cargo/ Mini Bus,NKOLBISSON,LYCEE TECHNIQUE,35,Plus de 20 minutes,35,30 € 60 min,850,Autres,Etudes,Moins de 18 ans,Entre 100 001 et 300 000,Homme
