Model,Dataset,Dimension,Mean,Std,Median,Min,Max,N,Distribution
mistral-nemo:12b,data_hanoi,accuracy,3.09,1.19,3.0,1,5,10600,"1: 1741, 3: 6216, 4: 811, 5: 1832"
mistral-nemo:12b,data_hanoi,relevance,4.67,0.74,5.0,3,5,10600,"3: 1741, 5: 8859"
mistral-nemo:12b,data_hanoi,coherence,3.92,0.95,4.0,2,5,10600,"2: 1741, 4: 6216, 5: 2643"
mistral-nemo:12b,data_hanoi,completeness,3.7,1.26,4.0,1,5,10600,"1: 1741, 4: 6827, 5: 2032"
mistral-nemo:12b,data_hanoi,fluency,4.03,0.6,4.0,3,5,10600,"3: 1741, 4: 6827, 5: 2032"
mistral-nemo:12b,data_lyon_EDGT,accuracy,2.34,1.48,1.0,1,4,45800,"1: 24707, 2: 926, 3: 13, 4: 20154"
mistral-nemo:12b,data_lyon_EDGT,relevance,3.36,1.48,2.0,2,5,45800,"2: 24707, 4: 926, 5: 20167"
mistral-nemo:12b,data_lyon_EDGT,coherence,3.36,1.48,2.0,2,5,45800,"2: 24707, 4: 926, 5: 20167"
mistral-nemo:12b,data_lyon_EDGT,completeness,2.82,1.98,1.0,1,5,45800,"1: 24707, 4: 939, 5: 20154"
mistral-nemo:12b,data_lyon_EDGT,fluency,2.9,0.98,2.0,2,4,45800,"2: 24707, 3: 939, 4: 20154"
mistral-nemo:12b,data_MyDailyTravelData,accuracy,2.67,0.74,3.0,1,3,36200,"1: 5806, 2: 379, 3: 30015"
mistral-nemo:12b,data_MyDailyTravelData,relevance,2.67,0.74,3.0,1,3,36200,"1: 5806, 2: 379, 3: 30015"
mistral-nemo:12b,data_MyDailyTravelData,coherence,4.61,0.92,5.0,1,5,36200,"1: 1050, 3: 4756, 4: 379, 5: 30015"
mistral-nemo:12b,data_MyDailyTravelData,completeness,1.83,0.38,2.0,1,2,36200,"1: 6185, 2: 30015"
mistral-nemo:12b,data_MyDailyTravelData,fluency,2.8,0.47,3.0,1,3,36200,"1: 1050, 2: 5135, 3: 30015"
mistral-nemo:12b,data_NYC_mobility,accuracy,1.97,0.23,2.0,1,3,35200,"1: 1533, 2: 33328, 3: 339"
mistral-nemo:12b,data_NYC_mobility,relevance,4.91,0.41,5.0,3,5,35200,"3: 1533, 5: 33667"
mistral-nemo:12b,data_NYC_mobility,coherence,3.92,0.42,4.0,2,5,35200,"2: 1533, 4: 33328, 5: 339"
mistral-nemo:12b,data_NYC_mobility,completeness,2.92,0.42,3.0,1,4,35200,"1: 1533, 3: 33467, 4: 200"
mistral-nemo:12b,data_NYC_mobility,fluency,3.96,0.2,4.0,3,4,35200,"3: 1533, 4: 33667"
mistral-nemo:12b,data_pmus_yaounde,accuracy,4.12,0.33,4.0,2,5,6800,"2: 3, 4: 5997, 5: 800"
mistral-nemo:12b,data_pmus_yaounde,relevance,3.18,0.51,3.0,1,5,6800,"1: 3, 3: 5997, 4: 400, 5: 400"
mistral-nemo:12b,data_pmus_yaounde,coherence,3.18,0.51,3.0,1,5,6800,"1: 3, 3: 5997, 4: 400, 5: 400"
mistral-nemo:12b,data_pmus_yaounde,completeness,4.06,0.24,4.0,1,5,6800,"1: 3, 4: 6397, 5: 400"
mistral-nemo:12b,data_pmus_yaounde,fluency,3.06,0.24,3.0,2,4,6800,"2: 3, 3: 6397, 4: 400"
mistral-nemo:12b,data_VTC_survey,accuracy,2.84,0.83,3.0,1,5,27200,"1: 3800, 3: 20833, 4: 2021, 5: 546"
mistral-nemo:12b,data_VTC_survey,relevance,3.81,0.79,4.0,2,5,27200,"2: 3800, 4: 20833, 5: 2567"
mistral-nemo:12b,data_VTC_survey,coherence,3.81,0.79,4.0,2,5,27200,"2: 3800, 4: 20833, 5: 2567"
mistral-nemo:12b,data_VTC_survey,completeness,2.74,0.72,3.0,1,4,27200,"1: 3800, 3: 22854, 4: 546"
mistral-nemo:12b,data_VTC_survey,fluency,2.88,0.38,3.0,2,4,27200,"2: 3800, 3: 22854, 4: 546"
llama3.1:8b,data_hanoi,accuracy,3.3,1.2,3.0,1,5,10600,"1: 1444, 3: 5289, 4: 1648, 5: 2219"
llama3.1:8b,data_hanoi,relevance,4.09,0.95,4.0,2,5,10600,"2: 1444, 4: 5289, 5: 3867"
llama3.1:8b,data_hanoi,coherence,3.4,1.29,3.0,1,5,10600,"1: 1444, 3: 5289, 4: 648, 5: 3219"
llama3.1:8b,data_hanoi,completeness,3.03,0.92,3.0,1,4,10600,"1: 1444, 3: 5937, 4: 3219"
llama3.1:8b,data_hanoi,fluency,3.17,0.64,3.0,2,4,10600,"2: 1444, 3: 5937, 4: 3219"
llama3.1:8b,data_lyon_EDGT,accuracy,2.68,1.87,1.0,1,5,45800,"1: 24818, 3: 763, 4: 5398, 5: 14821"
llama3.1:8b,data_lyon_EDGT,relevance,4.46,0.5,4.0,4,5,45800,"4: 24818, 5: 20982"
llama3.1:8b,data_lyon_EDGT,coherence,3.36,1.48,2.0,2,5,45800,"2: 24818, 4: 763, 5: 20219"
llama3.1:8b,data_lyon_EDGT,completeness,2.82,1.98,1.0,1,5,45800,"1: 24818, 4: 763, 5: 20219"
llama3.1:8b,data_lyon_EDGT,fluency,2.9,0.99,2.0,2,4,45800,"2: 24818, 3: 763, 4: 20219"
llama3.1:8b,data_MyDailyTravelData,accuracy,2.34,0.77,3.0,1,3,36200,"1: 6587, 2: 10758, 3: 18855"
llama3.1:8b,data_MyDailyTravelData,relevance,4.63,0.79,5.0,1,5,36200,"1: 120, 3: 6467, 4: 156, 5: 29457"
llama3.1:8b,data_MyDailyTravelData,coherence,4.63,0.79,5.0,1,5,36200,"1: 120, 3: 6467, 4: 158, 5: 29455"
llama3.1:8b,data_MyDailyTravelData,completeness,1.81,0.39,2.0,1,2,36200,"1: 6743, 2: 29457"
llama3.1:8b,data_MyDailyTravelData,fluency,3.81,0.4,4.0,2,4,36200,"2: 120, 3: 6623, 4: 29457"
llama3.1:8b,data_NYC_mobility,accuracy,3.04,0.37,3.0,1,4,35200,"1: 601, 3: 32073, 4: 2526"
llama3.1:8b,data_NYC_mobility,relevance,4.04,0.37,4.0,2,5,35200,"2: 601, 4: 32073, 5: 2526"
llama3.1:8b,data_NYC_mobility,coherence,4.04,0.37,4.0,2,5,35200,"2: 601, 4: 32073, 5: 2526"
llama3.1:8b,data_NYC_mobility,completeness,3.03,0.37,3.0,1,4,35200,"1: 601, 3: 32199, 4: 2400"
llama3.1:8b,data_NYC_mobility,fluency,4.05,0.28,4.0,3,5,35200,"3: 601, 4: 32399, 5: 2200"
llama3.1:8b,data_pmus_yaounde,accuracy,4.12,0.32,4.0,4,5,6800,"4: 6000, 5: 800"
llama3.1:8b,data_pmus_yaounde,relevance,3.18,0.51,3.0,3,5,6800,"3: 6000, 4: 400, 5: 400"
llama3.1:8b,data_pmus_yaounde,coherence,3.18,0.51,3.0,3,5,6800,"3: 6000, 4: 400, 5: 400"
llama3.1:8b,data_pmus_yaounde,completeness,4.06,0.24,4.0,4,5,6800,"4: 6400, 5: 400"
llama3.1:8b,data_pmus_yaounde,fluency,3.06,0.24,3.0,3,4,6800,"3: 6400, 4: 400"
llama3.1:8b,data_VTC_survey,accuracy,3.13,0.99,3.0,1,5,27200,"1: 3809, 3: 12568, 4: 10395, 5: 428"
llama3.1:8b,data_VTC_survey,relevance,4.12,0.97,4.0,2,5,27200,"2: 3809, 4: 12568, 5: 10823"
llama3.1:8b,data_VTC_survey,coherence,4.12,0.97,4.0,2,5,27200,"2: 3809, 4: 12568, 5: 10823"
llama3.1:8b,data_VTC_survey,completeness,3.04,0.94,3.0,1,4,27200,"1: 3809, 3: 14572, 4: 8819"
llama3.1:8b,data_VTC_survey,fluency,3.18,0.66,3.0,2,4,27200,"2: 3809, 3: 14572, 4: 8819"
llama3.3:70b,data_hanoi,accuracy,3.26,1.21,3.0,1,5,10600,"1: 1429, 3: 6061, 4: 627, 5: 2483"
llama3.3:70b,data_hanoi,relevance,4.73,0.68,5.0,3,5,10600,"3: 1429, 5: 9171"
llama3.3:70b,data_hanoi,coherence,4.02,0.91,4.0,2,5,10600,"2: 1429, 4: 6061, 5: 3110"
llama3.3:70b,data_hanoi,completeness,2.96,0.88,3.0,1,4,10600,"1: 1429, 3: 6688, 4: 2483"
llama3.3:70b,data_hanoi,fluency,4.1,0.6,4.0,3,5,10600,"3: 1429, 4: 6688, 5: 2483"
llama3.3:70b,data_lyon_EDGT,accuracy,2.78,1.98,1.0,1,5,45800,"1: 25251, 3: 380, 5: 20169"
llama3.3:70b,data_lyon_EDGT,relevance,4.45,0.5,4.0,4,5,45800,"4: 25251, 5: 20549"
llama3.3:70b,data_lyon_EDGT,coherence,2.78,1.98,1.0,1,5,45800,"1: 25251, 3: 380, 5: 20169"
llama3.3:70b,data_lyon_EDGT,completeness,2.79,1.98,1.0,1,5,45800,"1: 25251, 4: 380, 5: 20169"
llama3.3:70b,data_lyon_EDGT,fluency,2.89,0.99,2.0,2,4,45800,"2: 25251, 3: 380, 4: 20169"
llama3.3:70b,data_MyDailyTravelData,accuracy,2.42,0.75,3.0,1,3,36200,"1: 5852, 2: 9436, 3: 20912"
llama3.3:70b,data_MyDailyTravelData,relevance,4.65,0.82,5.0,1,5,36200,"1: 423, 3: 5429, 4: 236, 5: 30112"
llama3.3:70b,data_MyDailyTravelData,coherence,4.65,0.82,5.0,1,5,36200,"1: 423, 3: 5429, 4: 236, 5: 30112"
llama3.3:70b,data_MyDailyTravelData,completeness,2.82,0.41,3.0,1,3,36200,"1: 423, 2: 5651, 3: 30126"
llama3.3:70b,data_MyDailyTravelData,fluency,3.82,0.41,4.0,2,4,36200,"2: 423, 3: 5665, 4: 30112"
llama3.3:70b,data_NYC_mobility,accuracy,3.02,0.39,3.0,1,4,35200,"1: 776, 3: 32292, 4: 2132"
llama3.3:70b,data_NYC_mobility,relevance,4.96,0.29,5.0,3,5,35200,"3: 776, 5: 34424"
llama3.3:70b,data_NYC_mobility,coherence,4.02,0.39,4.0,2,5,35200,"2: 776, 4: 32292, 5: 2132"
llama3.3:70b,data_NYC_mobility,completeness,3.01,0.38,3.0,1,4,35200,"1: 776, 3: 32424, 4: 2000"
llama3.3:70b,data_NYC_mobility,fluency,4.03,0.27,4.0,3,5,35200,"3: 776, 4: 32624, 5: 1800"
llama3.3:70b,data_pmus_yaounde,accuracy,4.12,0.32,4.0,4,5,6800,"4: 6000, 5: 800"
llama3.3:70b,data_pmus_yaounde,relevance,3.18,0.51,3.0,3,5,6800,"3: 6000, 4: 400, 5: 400"
llama3.3:70b,data_pmus_yaounde,coherence,4.12,0.32,4.0,4,5,6800,"4: 6000, 5: 800"
llama3.3:70b,data_pmus_yaounde,completeness,4.06,0.24,4.0,4,5,6800,"4: 6400, 5: 400"
llama3.3:70b,data_pmus_yaounde,fluency,3.06,0.24,3.0,3,4,6800,"3: 6400, 4: 400"
llama3.3:70b,data_VTC_survey,accuracy,3.83,0.84,4.0,2,5,27200,"2: 4137, 4: 19445, 5: 3618"
llama3.3:70b,data_VTC_survey,relevance,3.83,0.84,4.0,2,5,27200,"2: 4137, 4: 19445, 5: 3618"
llama3.3:70b,data_VTC_survey,coherence,3.83,0.84,4.0,2,5,27200,"2: 4137, 4: 19445, 5: 3618"
llama3.3:70b,data_VTC_survey,completeness,2.73,0.76,3.0,1,4,27200,"1: 4137, 3: 22095, 4: 968"
llama3.3:70b,data_VTC_survey,fluency,2.88,0.42,3.0,2,4,27200,"2: 4137, 3: 22095, 4: 968"
gpt-oss:20b,data_hanoi,accuracy,3.02,1.14,3.0,1,5,10600,"1: 1754, 3: 6610, 4: 717, 5: 1519"
gpt-oss:20b,data_hanoi,relevance,4.67,0.74,5.0,3,5,10600,"3: 1754, 5: 8846"
gpt-oss:20b,data_hanoi,coherence,4.67,0.74,5.0,3,5,10600,"3: 1754, 5: 8846"
gpt-oss:20b,data_hanoi,completeness,2.81,0.88,3.0,1,4,10600,"1: 1754, 3: 7327, 4: 1519"
gpt-oss:20b,data_hanoi,fluency,3.98,0.56,4.0,3,5,10600,"3: 1754, 4: 7327, 5: 1519"
gpt-oss:20b,data_lyon_EDGT,accuracy,2.69,1.95,1.0,1,5,45800,"1: 25830, 3: 1213, 5: 18757"
gpt-oss:20b,data_lyon_EDGT,relevance,3.28,1.47,2.0,2,5,45800,"2: 25830, 4: 1213, 5: 18757"
gpt-oss:20b,data_lyon_EDGT,coherence,3.28,1.47,2.0,2,5,45800,"2: 25830, 4: 1213, 5: 18757"
gpt-oss:20b,data_lyon_EDGT,completeness,2.72,1.96,1.0,1,5,45800,"1: 25830, 4: 1213, 5: 18757"
gpt-oss:20b,data_lyon_EDGT,fluency,2.85,0.97,2.0,2,4,45800,"2: 25830, 3: 1213, 4: 18757"
gpt-oss:20b,data_MyDailyTravelData,accuracy,2.59,0.8,3.0,1,3,36200,"1: 7083, 2: 573, 3: 28544"
gpt-oss:20b,data_MyDailyTravelData,relevance,3.56,0.89,4.0,1,4,36200,"1: 1409, 2: 5674, 3: 173, 4: 28944"
gpt-oss:20b,data_MyDailyTravelData,coherence,4.53,1.01,5.0,1,5,36200,"1: 1409, 3: 5674, 4: 173, 5: 28944"
gpt-oss:20b,data_MyDailyTravelData,completeness,1.8,0.4,2.0,1,2,36200,"1: 7256, 2: 28944"
gpt-oss:20b,data_MyDailyTravelData,fluency,2.76,0.51,3.0,1,3,36200,"1: 1409, 2: 5847, 3: 28944"
gpt-oss:20b,data_NYC_mobility,accuracy,2.86,0.54,3.0,1,4,35200,"1: 2680, 3: 32187, 4: 333"
gpt-oss:20b,data_NYC_mobility,relevance,4.85,0.53,5.0,3,5,35200,"3: 2680, 5: 32520"
gpt-oss:20b,data_NYC_mobility,coherence,4.85,0.53,5.0,3,5,35200,"3: 2680, 5: 32520"
gpt-oss:20b,data_NYC_mobility,completeness,2.85,0.54,3.0,1,4,35200,"1: 2680, 3: 32327, 4: 193"
gpt-oss:20b,data_NYC_mobility,fluency,3.92,0.27,4.0,3,4,35200,"3: 2680, 4: 32520"
gpt-oss:20b,data_pmus_yaounde,accuracy,3.84,0.81,4.0,2,5,6800,"2: 948, 4: 5052, 5: 800"
gpt-oss:20b,data_pmus_yaounde,relevance,3.84,0.81,4.0,2,5,6800,"2: 948, 4: 5052, 5: 800"
gpt-oss:20b,data_pmus_yaounde,coherence,3.84,0.81,4.0,2,5,6800,"2: 948, 4: 5052, 5: 800"
gpt-oss:20b,data_pmus_yaounde,completeness,3.64,1.09,4.0,1,5,6800,"1: 948, 4: 5452, 5: 400"
gpt-oss:20b,data_pmus_yaounde,fluency,2.92,0.44,3.0,2,4,6800,"2: 948, 3: 5452, 4: 400"
gpt-oss:20b,data_VTC_survey,accuracy,3.83,0.85,4.0,2,5,27200,"2: 4188, 4: 19387, 5: 3625"
gpt-oss:20b,data_VTC_survey,relevance,4.69,0.72,5.0,3,5,27200,"3: 4188, 5: 23012"
gpt-oss:20b,data_VTC_survey,coherence,3.83,0.85,4.0,2,5,27200,"2: 4188, 4: 19387, 5: 3625"
gpt-oss:20b,data_VTC_survey,completeness,2.75,0.78,3.0,1,4,27200,"1: 4188, 3: 21450, 4: 1562"
gpt-oss:20b,data_VTC_survey,fluency,2.9,0.45,3.0,2,4,27200,"2: 4188, 3: 21450, 4: 1562"
gemma3:27b,data_hanoi,accuracy,2.29,0.88,2.0,1,4,10600,"1: 1573, 2: 5886, 3: 1662, 4: 1479"
gemma3:27b,data_hanoi,relevance,4.0,0.94,4.0,2,5,10600,"2: 1573, 4: 5886, 5: 3141"
gemma3:27b,data_hanoi,coherence,4.0,0.94,4.0,2,5,10600,"2: 1573, 4: 5886, 5: 3141"
gemma3:27b,data_hanoi,completeness,2.94,0.91,3.0,1,4,10600,"1: 1573, 3: 6548, 4: 2479"
gemma3:27b,data_hanoi,fluency,3.09,0.61,3.0,2,4,10600,"2: 1573, 3: 6548, 4: 2479"
gemma3:27b,data_lyon_EDGT,accuracy,2.72,1.92,1.0,1,5,45800,"1: 25216, 3: 141, 4: 3303, 5: 17140"
gemma3:27b,data_lyon_EDGT,relevance,2.79,1.98,1.0,1,5,45800,"1: 25216, 3: 141, 4: 103, 5: 20340"
gemma3:27b,data_lyon_EDGT,coherence,2.79,1.98,1.0,1,5,45800,"1: 25216, 3: 141, 4: 103, 5: 20340"
gemma3:27b,data_lyon_EDGT,completeness,2.79,1.99,1.0,1,5,45800,"1: 25216, 4: 244, 5: 20340"
gemma3:27b,data_lyon_EDGT,fluency,2.89,0.99,2.0,2,4,45800,"2: 25216, 3: 244, 4: 20340"
gemma3:27b,data_MyDailyTravelData,accuracy,1.7,0.46,2.0,1,2,36200,"1: 10955, 2: 25245"
gemma3:27b,data_MyDailyTravelData,relevance,1.82,0.39,2.0,1,2,36200,"1: 6555, 2: 29645"
gemma3:27b,data_MyDailyTravelData,coherence,4.66,0.75,5.0,1,5,36200,"1: 191, 3: 5026, 4: 1338, 5: 29645"
gemma3:27b,data_MyDailyTravelData,completeness,1.82,0.39,2.0,1,2,36200,"1: 6555, 2: 29645"
gemma3:27b,data_MyDailyTravelData,fluency,2.81,0.4,3.0,1,3,36200,"1: 191, 2: 6364, 3: 29645"
gemma3:27b,data_NYC_mobility,accuracy,2.99,0.31,3.0,1,4,35200,"1: 608, 3: 33680, 4: 912"
gemma3:27b,data_NYC_mobility,relevance,3.99,0.31,4.0,2,5,35200,"2: 608, 4: 33680, 5: 912"
gemma3:27b,data_NYC_mobility,coherence,3.01,0.38,3.0,1,5,35200,"1: 608, 3: 33680, 4: 312, 5: 600"
gemma3:27b,data_NYC_mobility,completeness,2.99,0.3,3.0,1,4,35200,"1: 608, 3: 33792, 4: 800"
gemma3:27b,data_NYC_mobility,fluency,4.0,0.19,4.0,3,5,35200,"3: 608, 4: 33992, 5: 600"
gemma3:27b,data_pmus_yaounde,accuracy,4.11,0.34,4.0,2,5,6800,"2: 20, 4: 5980, 5: 800"
gemma3:27b,data_pmus_yaounde,relevance,3.17,0.53,3.0,1,5,6800,"1: 20, 3: 5980, 4: 400, 5: 400"
gemma3:27b,data_pmus_yaounde,coherence,2.17,0.52,2.0,1,4,6800,"1: 20, 2: 5980, 3: 400, 4: 400"
gemma3:27b,data_pmus_yaounde,completeness,4.05,0.29,4.0,1,5,6800,"1: 20, 4: 6380, 5: 400"
gemma3:27b,data_pmus_yaounde,fluency,3.06,0.24,3.0,2,4,6800,"2: 20, 3: 6380, 4: 400"
gemma3:27b,data_VTC_survey,accuracy,2.9,0.89,3.0,1,5,27200,"1: 3800, 3: 19447, 4: 3131, 5: 822"
gemma3:27b,data_VTC_survey,relevance,3.87,0.83,4.0,2,5,27200,"2: 3800, 4: 19447, 5: 3953"
gemma3:27b,data_VTC_survey,coherence,2.93,0.95,3.0,1,5,27200,"1: 3800, 3: 19447, 4: 2131, 5: 1822"
gemma3:27b,data_VTC_survey,completeness,2.79,0.76,3.0,1,4,27200,"1: 3800, 3: 21578, 4: 1822"
gemma3:27b,data_VTC_survey,fluency,2.93,0.45,3.0,2,4,27200,"2: 3800, 3: 21578, 4: 1822"
gemma2:27b,data_hanoi,accuracy,3.15,1.14,3.0,1,5,10600,"1: 1443, 3: 6609, 4: 613, 5: 1935"
gemma2:27b,data_hanoi,relevance,3.97,0.89,4.0,2,5,10600,"2: 1443, 4: 6609, 5: 2548"
gemma2:27b,data_hanoi,coherence,3.97,0.89,4.0,2,5,10600,"2: 1443, 4: 6609, 5: 2548"
gemma2:27b,data_hanoi,completeness,2.91,0.85,3.0,1,4,10600,"1: 1443, 3: 7222, 4: 1935"
gemma2:27b,data_hanoi,fluency,4.05,0.56,4.0,3,5,10600,"3: 1443, 4: 7222, 5: 1935"
gemma2:27b,data_lyon_EDGT,accuracy,2.76,1.97,1.0,1,5,45800,"1: 25368, 3: 505, 4: 33, 5: 19894"
gemma2:27b,data_lyon_EDGT,relevance,2.76,1.97,1.0,1,5,45800,"1: 25368, 3: 505, 4: 33, 5: 19894"
gemma2:27b,data_lyon_EDGT,coherence,1.87,0.99,1.0,1,3,45800,"1: 25873, 2: 33, 3: 19894"
gemma2:27b,data_lyon_EDGT,completeness,2.77,1.98,1.0,1,5,45800,"1: 25368, 4: 538, 5: 19894"
gemma2:27b,data_lyon_EDGT,fluency,2.88,0.99,2.0,2,4,45800,"2: 25368, 3: 538, 4: 19894"
gemma2:27b,data_MyDailyTravelData,accuracy,2.24,0.83,2.0,1,3,36200,"1: 9102, 2: 9430, 3: 17668"
gemma2:27b,data_MyDailyTravelData,relevance,4.46,0.95,5.0,1,5,36200,"1: 571, 3: 8531, 4: 228, 5: 26870"
gemma2:27b,data_MyDailyTravelData,coherence,4.46,0.95,5.0,1,5,36200,"1: 571, 3: 8531, 4: 228, 5: 26870"
gemma2:27b,data_MyDailyTravelData,completeness,2.73,0.48,3.0,1,3,36200,"1: 571, 2: 8759, 3: 26870"
gemma2:27b,data_MyDailyTravelData,fluency,3.73,0.48,4.0,2,4,36200,"2: 571, 3: 8759, 4: 26870"
gemma2:27b,data_NYC_mobility,accuracy,3.02,0.37,3.0,1,4,35200,"1: 675, 3: 32360, 4: 2165"
gemma2:27b,data_NYC_mobility,relevance,4.02,0.37,4.0,2,5,35200,"2: 675, 4: 32360, 5: 2165"
gemma2:27b,data_NYC_mobility,coherence,4.02,0.37,4.0,2,5,35200,"2: 675, 4: 32360, 5: 2165"
gemma2:27b,data_NYC_mobility,completeness,3.02,0.36,3.0,1,4,35200,"1: 675, 3: 32525, 4: 2000"
gemma2:27b,data_NYC_mobility,fluency,4.03,0.26,4.0,3,5,35200,"3: 675, 4: 32725, 5: 1800"
gemma2:27b,data_pmus_yaounde,accuracy,4.11,0.36,4.0,2,5,6800,"2: 40, 4: 5960, 5: 800"
gemma2:27b,data_pmus_yaounde,relevance,3.16,0.54,3.0,1,5,6800,"1: 40, 3: 5960, 4: 400, 5: 400"
gemma2:27b,data_pmus_yaounde,coherence,4.11,0.36,4.0,2,5,6800,"2: 40, 4: 5960, 5: 800"
gemma2:27b,data_pmus_yaounde,completeness,4.04,0.33,4.0,1,5,6800,"1: 40, 4: 6360, 5: 400"
gemma2:27b,data_pmus_yaounde,fluency,3.05,0.25,3.0,2,4,6800,"2: 40, 3: 6360, 4: 400"
gemma2:27b,data_VTC_survey,accuracy,2.85,0.84,3.0,1,5,27200,"1: 3800, 3: 20349, 4: 2470, 5: 581"
gemma2:27b,data_VTC_survey,relevance,3.83,0.8,4.0,2,5,27200,"2: 3800, 4: 20349, 5: 3051"
gemma2:27b,data_VTC_survey,coherence,3.83,0.8,4.0,2,5,27200,"2: 3800, 4: 20349, 5: 3051"
gemma2:27b,data_VTC_survey,completeness,2.74,0.72,3.0,1,4,27200,"1: 3800, 3: 22819, 4: 581"
gemma2:27b,data_VTC_survey,fluency,2.88,0.38,3.0,2,4,27200,"2: 3800, 3: 22819, 4: 581"
gemma2:9b,data_hanoi,accuracy,3.25,1.25,3.0,1,5,10600,"1: 1681, 3: 5107, 4: 1598, 5: 2214"
gemma2:9b,data_hanoi,relevance,4.04,1.0,4.0,2,5,10600,"2: 1681, 4: 5107, 5: 3812"
gemma2:9b,data_hanoi,coherence,4.04,1.0,4.0,2,5,10600,"2: 1681, 4: 5107, 5: 3812"
gemma2:9b,data_hanoi,completeness,2.99,0.97,3.0,1,4,10600,"1: 1681, 3: 5705, 4: 3214"
gemma2:9b,data_hanoi,fluency,3.14,0.66,3.0,2,4,10600,"2: 1681, 3: 5705, 4: 3214"
gemma2:9b,data_lyon_EDGT,accuracy,2.72,1.97,1.0,1,5,45800,"1: 25765, 3: 676, 5: 19359"
gemma2:9b,data_lyon_EDGT,relevance,3.3,1.48,2.0,2,5,45800,"2: 25765, 4: 676, 5: 19359"
gemma2:9b,data_lyon_EDGT,coherence,3.3,1.48,2.0,2,5,45800,"2: 25765, 4: 676, 5: 19359"
gemma2:9b,data_lyon_EDGT,completeness,2.74,1.97,1.0,1,5,45800,"1: 25765, 4: 676, 5: 19359"
