age,occup,gender,origlat,origlon,destlat,destlon,purp,vehic,freqpweek,OD_dist,travtime,reason,own_car,own_motob,own_ebike,own_bike,freq_car,freq_motob,freq_ebike,freq_bike,freq_taxi,freq_bus,school_acc,market_acc,hosp_acc,bank_acc,leis_acc,type,status,own,reas_not_car,reas_not_motob,reas_not_ebike,reas_not_bike,dist_to_pub,aware_ban,fut_veh,alt_veh,alt_car,alt_ebike,alt_bike,alt_bus,alt_ltrain,alt_taxi,alt_walk,opinion_car,opinion_motob,opinion_ebike,opinion_bike,opinion_taxi,opinion_bus,opinion_ban
56_75,retired,female,21.026682,105.838188,21.030775,105.846455,caring,bike,8_10,0.971261246,25,cost convinient timesaving,1,4,1,1,,more_20,,,,,neutral,good,neutral,neutral,good,private_house,permanent,owner,jam,jam,slow,slow,700,yes,no,car ebike bike walk,1,1,1,0,0,0,1,good,good,neutral,good,neutral,neutral,disagree
18_25,student,female,21.038404,105.774908,21.034819,105.778813,visit,taxi,17_20,0.56847053,30,cost convinient timesaving,4,4,3,1,11_15,11_15,16_20,11_15,16_20,11_15,neutral,good,neutral,good,good,private_new,long_stay,owner,jam,jam,cost,slow,400,no,ebike,car ebike bus lighttrain taxi walk,1,1,0,1,1,1,1,neutral,good,good,good,good,good,agree
less_18,student,female,21.033918,105.836878,21.017041,105.804541,leisure,taxi,1_3,3.84533981,25,other,2,3,3,3,,,,,,,,,,,,private_house,permanent,parent_house,parking,unsafe,slow,slow,200,yes,no,car lighttrain taxi,1,0,0,0,1,1,0,neutral,neutral,verygood,verygood,verygood,verygood,strongagree
more_75,retired,female,20.988339,105.862129,20.986757,105.8625,shopping,walk,1_3,0.18007799,5,cost convinient,1,4,0,2,,,,11_15,,,neutral,neutral,good,neutral,good,private_house,permanent,owner,cost,jam,jam,slow,300,yes,no,bike walk,0,0,1,0,0,0,1,good,good,neutral,good,neutral,neutral,agree
more_75,retired,female,21.041126,105.883627,21.039635,105.883461,visit,walk,11_13,0.166684574,5,cost convinient other,0,more_5,0,4,,,,6_10,,,good,good,neutral,neutral,neutral,private_house,permanent,owner,jam,jam,unsafe,slow,200,yes,no,bike walk,0,0,1,0,0,0,1,good,good,neutral,good,neutral,neutral,agree
26_35,private,female,21.062756,105.898945,21.061391,105.898282,work,moto,8_10,0.166645148,10,cost convinient timesaving other,2,4,3,more_5,,,,,,,,,,,,private_house,permanent,owner,parking,jam,unsafe,slow,1205,yes,car,car ebike taxi,1,1,0,0,0,1,0,verygood,verygood,verygood,good,verygood,neutral,disagree
more_75,retired,female,21.065519,105.904118,21.045435,105.901703,caring,bike,1_3,2.247259541,12,cost other,1,3,1,2,,,,6_10,,,good,good,neutral,neutral,good,private_house,permanent,owner,jam,jam,jam,slow,400,yes,no,bike walk,0,0,1,0,0,0,1,good,good,neutral,good,neutral,neutral,agree
18_25,state,male,21.034078,105.821857,21.021941,105.802975,work,bus,8_10,2.379501706,66,convinient timesaving,0,1,2,3,,,6_10,1_5,,6_10,good,good,good,good,good,private_house,permanent,parent_house,cost,parking,parking,cost,10,no,moto,car,1,0,0,0,0,0,0,verygood,good,neutral,bad,verybad,verybad,neutral
26_35,state,male,21.026549,105.836768,21.027213,105.835395,leisure,moto,14_16,0.160496188,4,convinient timesaving other,1,4,0,3,,more_20,,6_10,,,neutral,good,neutral,neutral,good,private_house,permanent,parent_house,cost,jam,jam,slow,400,donotcare,no,ebike bike taxi walk,0,1,1,0,0,1,1,verygood,verygood,good,good,good,bad,disagree
more_75,retired,female,21.042386,105.874588,21.044993,105.878186,visit,bike,4_7,0.472714812,10,cost timesaving,0,more_5,0,4,,,,6_10,,,good,good,neutral,neutral,neutral,private_house,permanent,owner,jam,jam,unsafe,slow,200,yes,no,bike walk,0,0,1,0,0,0,1,good,good,neutral,good,neutral,neutral,agree
56_75,retired,female,21.030651,105.83221,21.031444,105.829976,shopping,walk,4_7,0.248063376,465,timesaving,0,1,2,0,6_10,6_10,6_10,,,,,,,,,old_building,permanent,rent,cost,parking,jam,jam,356,donotcare,ebike,lighttrain,0,0,0,0,1,0,0,bad,bad,verybad,verybad,verybad,verybad,disagree
18_25,student,female,21.181243,105.865578,21.171274,105.847993,work,moto,14_16,2.133846824,15,convinient,more_5,more_5,0,more_5,1_5,11_15,1_5,11_15,1_5,1_5,very_good,very_good,very_good,very_good,good,private_house,permanent,parent_house,cost,unsafe,unsafe,slow,10,yes,no,bike bus lighttrain walk,0,0,1,1,1,0,1,verygood,verygood,neutral,verygood,good,verygood,agree
more_75,retired,female,21.038109,105.876081,21.042,105.876145,shopping,walk,8_10,0.432711119,10,convinient,0,more_5,0,4,,,,6_10,,,good,good,neutral,neutral,neutral,private_house,permanent,owner,jam,jam,unsafe,slow,200,yes,no,bike walk,0,0,1,0,0,0,1,good,good,neutral,good,neutral,neutral,agree
more_75,retired,female,21.090073,105.782858,21.093758,105.780826,caring,walk,14_16,0.460803129,7,convinient,0,1,0,2,,,,11_15,,,good,good,neutral,neutral,good,private_house,permanent,owner,cost,jam,jam,slow,300,yes,no,bike lighttrain walk,0,0,1,0,1,0,1,good,good,neutral,good,neutral,neutral,agree
56_75,retired,female,21.017782,105.801277,21.021806,105.799201,shopping,bike,8_10,0.496630998,6,timesaving,0,4,1,2,,,,more_20,,,neutral,good,good,neutral,good,private_house,permanent,owner,cost,jam,unsafe,slow,600,yes,no,car ebike bike walk,1,1,1,0,0,0,1,good,good,good,good,neutral,neutral,agree
36_55,fdi,male,21.010988,105.865119,21.008217,105.84954,work,car,4_7,1.64623741,35,timesaving,4,4,3,4,,,,,,,,,,,,high_rise,permanent,owner,parking,parking,slow,slow,350,donotcare,no,car,1,0,0,0,0,0,0,neutral,bad,neutral,bad,neutral,bad,agree
56_75,fdi,female,20.947685,105.794097,20.94981,105.787483,leisure,ebike,11_13,0.726340789,5432,timesaving,1,0,1,0,,,,,,,,,,,,old_building,permanent,owner,jam,jam,unsafe,unsafe,543,yes,ebike,bike,0,0,1,0,0,0,0,neutral,neutral,good,good,good,good,neutral
18_25,student,female,21.001331,105.864476,21.006626,105.859745,education,ebike,14_16,0.766712867,11,convinient,0,more_5,1,3,,more_20,,11_15,1_5,,good,very_good,good,neutral,good,old_building,permanent,parent_house,cost,jam,jam,slow,650,no,no,car ebike taxi,1,1,0,0,0,1,0,verygood,verygood,good,good,good,bad,disagree
56_75,retired,female,21.030874,105.848975,21.038744,105.847637,caring,moto,14_16,0.886054722,12,convinient timesaving,0,more_5,0,3,,6_10,,11_15,,,neutral,neutral,good,bad,neutral,private_house,permanent,owner,cost,jam,jam,slow,600,yes,no,car ebike bike walk,1,1,1,0,0,0,1,verygood,good,good,verygood,neutral,neutral,disagree
56_75,retired,female,20.982318,105.828166,20.972699,105.821557,caring,car,4_7,1.270770467,35,timesaving,3,2,3,2,,,,,,,,,,,,private_house,permanent,owner,jam,jam,slow,slow,300,yes,no,car lighttrain,1,0,0,0,1,0,0,neutral,bad,neutral,bad,neutral,bad,neutral
56_75,private,female,20.94424,105.748823,21.119325,105.495782,visit,bus,1_3,32.69163656,50,other,0,3,3,3,,,,,,1_5,,,,,,private_house,permanent,parent_house,cost,cost,cost,cost,300,yes,no,ebike bus lighttrain taxi walk,0,1,0,1,1,1,1,verybad,verybad,verybad,verybad,verybad,verybad,neutral
56_75,fdi,male,21.175881,105.734535,21.175041,105.732087,shopping,taxi,8_10,0.270466032,345,timesaving,0,1,2,0,,,,,,,,,,,,old_building,long_stay,rent,parking,parking,parking,parking,34567,yes,moto,taxi,0,0,0,0,0,1,0,bad,bad,neutral,neutral,neutral,neutral,neutral
56_75,retired,female,21.06624,105.899954,21.067839,105.901455,visit,car,1_3,0.236369723,11,cost convinient timesaving,1,2,3,1,,,,,,,,,,,,old_building,permanent,owner,parking,cost,unsafe,slow,1240,no,no,car ebike,1,1,0,0,0,0,0,verygood,verygood,good,neutral,good,neutral,strongdisagree
36_55,private,male,21.035225,105.842601,21.034779,105.842499,visit,car,1_3,0.05071028,10,cost convinient timesaving,2,4,more_5,3,,,,,,,,,,,,private_house,permanent,owner,parking,unsafe,jam,slow,1250,donotcare,no,car ebike,1,1,0,0,0,0,0,verygood,verygood,good,good,neutral,neutral,strongdisagree
more_75,retired,female,21.037683,105.881249,21.034576,105.856449,visit,bus,1_3,2.596936897,30,cost,0,more_5,0,4,,,,6_10,,,good,good,neutral,neutral,neutral,private_house,permanent,owner,jam,jam,unsafe,slow,200,yes,no,bike walk,0,0,1,0,0,0,1,good,good,neutral,good,neutral,neutral,agree
26_35,private,male,20.976186,105.758171,20.967722,105.76169,caring,moto,1_3,1.009589953,20,other,0,more_5,more_5,more_5,,,,,,,,,,,,private_new,long_stay,rent,jam,jam,jam,jam,500,yes,moto,car lighttrain taxi walk,1,0,0,0,1,1,1,bad,bad,neutral,neutral,neutral,neutral,neutral
more_75,fdi,male,20.998482,105.864649,21.000821,105.860569,shopping,bike,4_7,0.497025084,5,cost,1,1,2,2,,,,,,,,,,,,social_house,long_stay,parent_house,cost,parking,jam,jam,45,donotcare,no,taxi,0,0,0,0,0,1,0,verybad,bad,bad,bad,bad,bad,neutral
more_75,retired,female,21.091744,105.790528,21.090243,105.798352,caring,bike,14_16,0.82869166,7,timesaving,0,1,0,2,,,,11_15,,,good,good,neutral,neutral,good,private_house,permanent,owner,cost,jam,jam,slow,300,yes,no,bike lighttrain walk,0,0,1,0,1,0,1,good,good,neutral,good,neutral,neutral,agree
18_25,student,male,21.029834,105.773496,21.029834,105.773496,education,moto,14_16,0.0,10,cost,4,4,4,3,11_15,16_20,11_15,16_20,11_15,16_20,neutral,good,neutral,good,good,private_house,long_stay,rent,unsafe,jam,unsafe,unsafe,2,yes,car,bus lighttrain,0,0,0,1,1,0,0,good,good,neutral,neutral,good,neutral,neutral
less_18,student,female,21.087798,105.819206,21.07238,105.794428,education,bike,8_10,3.090025325,21,cost convinient,1,2,1,4,1_5,6_10,,more_20,,,good,good,neutral,neutral,good,high_rise,permanent,parent_house,cost,jam,slow,slow,700,no,ebike,car ebike bike taxi walk,1,1,1,0,0,1,1,good,good,good,neutral,good,neutral,disagree
36_55,student,female,20.970895,105.805579,20.967929,105.800305,shopping,tram,4_7,0.639250368,12,timesaving,2,2,2,2,1_5,1_5,1_5,1_5,1_5,1_5,very_bad,very_bad,very_bad,very_bad,very_bad,old_building,permanent,parent_house,cost,cost,cost,cost,2300,donotcare,no,bus,0,0,0,1,0,0,0,bad,bad,bad,bad,bad,bad,neutral
56_75,retired,female,20.95793,105.76775,20.956143,105.765603,caring,ebike,8_10,0.298642966,4,timesaving,1,1,2,2,,,,,,,,,,,,high_rise,long_stay,rent,parking,parking,cost,cost,45,donotcare,ebike,lighttrain,0,0,0,0,1,0,0,bad,bad,neutral,neutral,neutral,neutral,disagree
56_75,private,female,20.968172,105.865281,20.977723,105.867525,shopping,bike,4_7,1.087281286,6,convinient timesaving,1,4,0,2,,6_10,,16_20,,,neutral,neutral,good,good,good,private_house,permanent,owner,jam,jam,unsafe,slow,800,yes,car,car ebike bike walk,1,1,1,0,0,0,1,verygood,good,good,verygood,neutral,neutral,agree
more_75,retired,female,21.015364,105.81754,21.019202,105.819481,shopping,bike,8_10,0.471932705,13,timesaving,0,1,0,2,,1_5,,more_20,,,good,good,neutral,good,good,private_house,permanent,owner,cost,jam,jam,slow,400,yes,no,bike bus walk,0,0,1,1,0,0,1,good,good,good,verygood,neutral,neutral,agree
56_75,fdi,female,21.027582,105.833151,21.026084,105.83371,caring,bus,8_10,0.17638557,665,timesaving,0,1,1,2,,,,,,,,,,,,private_house,short_stay,owner,cost,parking,jam,jam,456,yes,bike,taxi,0,0,0,0,0,1,0,verybad,bad,neutral,bad,bad,verybad,neutral
18_25,fdi,male,21.066043,105.892364,21.063765,105.896304,visit,moto,4_7,0.480942196,22,timesaving,3,4,3,2,,,,,,,,,,,,private_house,permanent,owner,jam,parking,jam,parking,200,no,ebike,car,1,0,0,0,0,0,0,bad,verybad,bad,bad,neutral,neutral,strongagree
26_35,private,female,21.069543,105.897421,21.060572,105.90401,leisure,moto,1_3,1.209346087,5000,other,0,1,2,1,,,,,,,,,,,,old_building,permanent,owner,cost,cost,cost,slow,1500,yes,ebike,ebike bike walk,0,1,1,0,0,0,1,good,good,good,neutral,good,neutral,neutral
less_18,student,female,21.080052,105.817769,21.071709,105.813605,shopping,ebike,4_7,1.023371744,8,cost other,1,2,1,4,1_5,6_10,,more_20,,,good,good,neutral,neutral,good,high_rise,permanent,parent_house,cost,jam,slow,slow,700,no,ebike,car ebike bike taxi walk,1,1,1,0,0,1,1,good,good,good,neutral,good,neutral,disagree
36_55,private,female,21.078943,105.71929,21.103977,105.707016,visit,bike,4_7,3.061084761,21,other,0,3,1,4,,more_20,,,,,good,good,good,good,good,private_house,permanent,parent_house,cost,cost,cost,cost,150,no,no,ebike bus taxi,0,1,0,1,0,1,0,verybad,verybad,verybad,verybad,verybad,verybad,disagree
more_75,retired,female,21.029541,105.822218,21.028325,105.839967,shopping,bike,1_3,1.847114281,12,convinient timesaving,0,4,0,1,,,,1_5,,,neutral,neutral,good,good,good,private_house,permanent,owner,parking,jam,unsafe,slow,800,yes,no,bike walk,0,0,1,0,0,0,1,verygood,good,neutral,good,neutral,neutral,agree
more_75,retired,female,20.983654,105.871843,20.986808,105.864971,visit,walk,1_3,0.794989212,8,cost convinient other,1,4,0,2,,,,11_15,,,neutral,neutral,good,neutral,good,private_house,permanent,owner,cost,jam,jam,slow,300,yes,no,bike walk,0,0,1,0,0,0,1,good,good,neutral,good,neutral,neutral,agree
56_75,fdi,female,20.855436,105.771527,20.853054,105.767576,education,taxi,8_10,0.488575835,456,convinient,0,1,2,1,,,,,,,,,,,,social_house,permanent,parent_house,parking,parking,jam,jam,7654,no,bike,lighttrain,0,0,0,0,1,0,0,neutral,neutral,good,good,verygood,verygood,disagree
56_75,retired,female,20.997048,105.853286,20.994249,105.860079,shopping,bike,8_10,0.77082609,5,convinient timesaving,0,more_5,1,2,,6_10,,1_5,,,good,neutral,neutral,good,neutral,private_house,permanent,owner,parking,jam,slow,slow,600,yes,no,ebike bike walk,0,1,1,0,0,0,1,good,good,neutral,good,neutral,good,agree
18_25,private,female,21.070586,105.898364,21.054255,105.88425,education,ebike,8_10,2.33291919,33,timesaving,3,1,1,3,,,,,,,,,,,,private_house,permanent,owner,unsafe,jam,jam,jam,180,no,moto,car,1,0,0,0,0,0,0,bad,neutral,good,neutral,neutral,neutral,agree
more_75,retired,female,21.058067,105.889358,21.059306,105.889808,education,walk,11_13,0.145469181,6,cost convinient,1,4,0,0,,,,,,,good,good,neutral,neutral,good,private_house,permanent,owner,cost,jam,unsafe,slow,800,yes,no,bike walk,0,0,1,0,0,0,1,good,good,neutral,good,neutral,neutral,agree
56_75,retired,female,20.988772,105.850331,20.98652,105.839985,shopping,bike,4_7,1.102906351,15,convinient timesaving,0,more_5,1,2,,6_10,,1_5,,,good,neutral,neutral,good,neutral,private_house,permanent,owner,parking,jam,slow,slow,800,yes,no,ebike bike walk,0,1,1,0,0,0,1,good,good,neutral,good,neutral,good,agree
36_55,state,female,21.023997,105.826296,21.030791,105.829855,work,car,8_10,0.840933028,18,convinient,more_5,3,3,2,,,,,,,,,,,,high_rise,permanent,owner,jam,jam,slow,slow,200,yes,no,car,1,0,0,0,0,0,0,neutral,neutral,neutral,neutral,neutral,neutral,agree
18_25,student,female,21.002595,105.852837,21.001824,105.859539,education,walk,8_10,0.700983735,8,cost,0,more_5,1,3,,more_20,,11_15,1_5,,good,very_good,good,neutral,good,old_building,permanent,parent_house,cost,jam,jam,slow,650,no,no,car ebike taxi,1,1,0,0,0,1,0,verygood,verygood,good,good,good,bad,disagree
18_25,student,female,21.011063,105.863019,21.01182,105.857716,visit,ebike,1_3,0.556858622,8,convinient other,0,more_5,1,3,,more_20,,11_15,1_5,,good,very_good,good,neutral,good,old_building,permanent,parent_house,cost,jam,jam,slow,650,no,no,car ebike taxi,1,1,0,0,0,1,0,verygood,verygood,good,good,good,bad,disagree
18_25,state,male,21.015008,105.824257,21.018815,105.807692,education,moto,14_16,1.770754776,8,convinient,3,3,3,3,,,11_15,,,,neutral,neutral,neutral,neutral,neutral,private_house,long_stay,parent_house,unsafe,unsafe,jam,jam,7,donotcare,no,ebike,0,1,0,0,0,0,0,good,good,good,good,good,good,strongagree
more_75,retired,female,21.092257,105.779494,21.091474,105.781985,visit,walk,14_16,0.272702385,4,convinient,0,1,0,2,,,,11_15,,,good,good,neutral,neutral,good,private_house,permanent,owner,cost,jam,jam,slow,300,yes,no,bike lighttrain walk,0,0,1,0,1,0,1,good,good,neutral,good,neutral,neutral,agree
26_35,private,female,20.99596,105.854943,21.001166,105.871464,work,moto,4_7,1.810114821,30,cost,4,3,4,4,,,,,,,,,,,,high_rise,permanent,owner,cost,cost,unsafe,slow,300,yes,car,bus,0,0,0,1,0,0,0,neutral,bad,neutral,bad,neutral,bad,disagree
56_75,fdi,female,20.955261,105.770327,20.95708,105.771873,leisure,taxi,14_16,0.258229946,4,convinient,1,1,1,2,,,,,,,,,,,,private_new,permanent,owner,unsafe,parking,jam,jam,4565,no,ebike,bus,0,0,0,1,0,0,0,bad,bad,bad,bad,bad,bad,strongdisagree
18_25,student,female,21.000093,105.86009,20.998402,105.855096,education,ebike,8_10,0.551473307,7,cost convinient,0,more_5,1,3,,more_20,,11_15,1_5,,good,very_good,good,neutral,good,old_building,permanent,parent_house,cost,jam,jam,slow,650,no,no,car ebike taxi,1,1,0,0,0,1,0,verygood,verygood,good,good,good,bad,disagree
56_75,retired,female,20.985556,105.84278,20.985992,105.84749,shopping,walk,8_10,0.49138712,10,cost convinient,0,more_5,1,2,,6_10,,1_5,,,good,neutral,neutral,good,neutral,private_house,permanent,owner,parking,jam,slow,slow,800,yes,no,ebike bike walk,0,1,1,0,0,0,1,good,good,neutral,good,neutral,good,agree
more_75,retired,female,21.036601,105.843444,21.034281,105.850482,caring,bike,4_7,0.774654599,10,cost,0,1,2,2,,,,,,,,,,,,old_building,permanent,owner,cost,cost,unsafe,slow,60,yes,ebike,car ebike lighttrain taxi,1,1,0,0,1,1,0,bad,neutral,neutral,bad,bad,neutral,agree
36_55,fdi,male,21.029409,105.834826,21.028744,105.836286,caring,bus,4_7,0.168611689,465,cost,0,1,1,1,,,,,,,,,,,,private_new,long_stay,owner,cost,parking,jam,jam,45,donotcare,no,taxi,0,0,0,0,0,1,0,verybad,bad,neutral,neutral,neutral,neutral,neutral
