genre,genre_autre,age,diplome,diplome_autre,situation_professionnelle,csp,compo_menage,compo_menage_autre,nb_pers_menage,nb_enfants_menage,nb_enfants_menage_14,date_der_dep_vtc,der_dep_vtc_agglo_res_on,agglo_der_dep,agglo_der_dep_autre,app_der_dep_vtc_on,app_der_dep_vtc,app_der_dep_vtc_autre,prix_estime_trajet_vtc_20min,avis_prix_estime_trajet_vtc_20min,prix_estime_trajet_taxi_20min,avis_prix_estime_trajet_taxi_20min,nb_voitures,nb_voitures_hybride_ou_elec,nb_2rm,nb_velo_meca,nb_velo_elec,nb_trot_meca,nb_trot_elec,permis_conduire_1,permis_conduire_2,temps_marche_bus,temps_marche_tram,temps_marche_metro,temps_marche_gare,abo_tc,velo_trott_lld,vtc_dispo,taxi_dispo,freq_marche,freq_vp_cond,freq_vp_passager,freq_voit_loc,freq_drm_perso,freq_drm_partage,freq_velo_perso,freq_velo_partage,freq_trott_partage,freq_tc,freq_taxi,freq_vtc,freq_maas,motif_der_dep_vtc,motif_der_dep_vtc_autre,prix_der_dep_vtc,duree_der_dep_vtc,quels_modes_de_transport_avez-vous_utili1,quels_modes_de_transport_avez-vous_utili2,quels_modes_de_transport_avez-vous_utili3,quels_modes_de_transport_avez-vous_autre,renoncement_der_dep_vtc,report_modal_der_dep_vtc,report_modal_der_dep_vtc_autre,raison_vtc_der_dep_vtc1,raison_vtc_der_dep_vtc2,raison_vtc_der_dep_vtc3,raison_vtc_der_dep_vtc_autre,raison_non_usage_vtc1,raison_non_usage_vtc2,raison_non_usage_vtc3,raison_non_usage_vtc_autre,raison_non_usage_vtc_depuis_der_dep1,raison_non_usage_vtc_depuis_der_dep2,raison_non_usage_vtc_depuis_der_dep3,raison_non_usage_vtc_depuis_der_de_autre,mauvaise_exp1,mauvaise_exp2,mauvaise_exp3,mauvaise_exp_autre,trajet_domtrav_dometudes,accompagnement_proche,visite_proche,dep_pro,loisir,aeroport,gare_ou_tc,voyage_mode_principal,courses_ou_achats,courses_conventionnees,demarches_admin,raisons_usagevtc_potentiel1,raisons_usagevtc_potentiel2,raisons_usagevtc_potentiel3,raisons_usagevtc_potentiel_autre,services_vtc_potentiels1,services_vtc_potentiels2,services_vtc_potentiels3,services_vtc_potentiels_autre,date_der_dep_taxi,lieu_der_dep_taxi_jamaisvtc,motif_der_dep_taxi_jamaisvtc,motif_der_dep_taxi_jamaisvtc_autre,prix_der_dep_taxi_jamaisvtc,duree_der_dep_taxi_jamaisvtc,motif_der_dep_taxi_pasvtc_res,motif_der_dep_taxi_pasvtc_res_autre,prix_der_dep_taxi_pasvtc_res,duree_der_dep_taxi_pasvtc_res,future_mobilite_envisagee,future_mobilite_envisagee_autre,demotorisation_potentielle,raison_demoto_circulation,raison_demoto_stationnement,raison_demoto_changement,raison_demoto_moyens_financiers,raison_demoto_panne_ou_trop_vieux,raison_demoto_pref_tc,raison_demoto_pref_velo_ou_marche,raison_demoto_pref_taxi_ou_vtc,raison_demoto_pref_mobilite_partagee,demenagement_potentiel,aire_urbaine_demenagement_potentiel,situation_agglo_demenagement_potentiel,situation_agglo_demenagement_poten_autre,tc_destination_demenagement_potentiel,zfe_on,zfe_adaptation1,zfe_adaptation2,zfe_adaptation3,zfe_adaptation_autre,revenus,cat_csp,cat_age,cat_aire_urbaine,poids_redressement
Une femme,,63,Baccalauréat,,Actif.ve à temps plein (+32 h / semaine),Agriculteur.ice,En couple avec enfant(s),,4.0,2.0,0.0,Je n'en ai jamais utilisé,,,,,,,15,Adéquat,10,Adéquat,2,Mon ménage ne possède pas ce type de véhicule,Mon ménage ne possède pas ce type de véhicule,Mon ménage ne possède pas ce type de véhicule,Mon ménage ne possède pas ce type de véhicule,Mon ménage ne possède pas ce type de véhicule,Mon ménage ne possède pas ce type de véhicule,"Oui, permis B",,Moins de 5 minutes,Il n'en existe pas à proximité de mon domicile,Il n'en existe pas à proximité de mon domicile,Moins de 5 minutes,Non,Non,Je ne sais pas,Oui,Tous les jours ou presque,Tous les jours ou presque,Jamais,Jamais,,,,Jamais,Jamais,Moins d'une fois par mois,Moins d'une fois par mois,Jamais,Moins d'une fois par mois,,,,,,,,,,,,,,,,Je préfère d'autres moyens de transport,,,,,,,,,,,,Exceptionnellement,Exceptionnellement,Exceptionnellement,Jamais,Exceptionnellement,Exceptionnellement,Jamais,Jamais,Jamais,Exceptionnellement,Jamais,Si aucune autre offre de transport n'est disponible seulement,,,,Aucun service supplémentaire,,,,,,,,,,,,,,Je n'envisage pas de changements particuliers,,Je ne sais pas,Pas d'accord du tout,Pas d'accord du tout,Pas d'accord du tout,Pas d'accord du tout,Pas d'accord du tout,Pas d'accord du tout,Pas d'accord du tout,Pas d'accord du tout,Pas d'accord du tout,Non,,,,,Je ne sais pas,,,,,Je ne souhaite pas répondre,Agriculteur.ice,60 ans et plus,Aire urbaine de Paris,0.585964
Un homme,,24,Baccalauréat,,Actif.ve en recherche d'emploi,Employé.e,En colocation,,3.0,0.0,0.0,Je n'en ai jamais utilisé,,,,,,,5,Elevé,7,Très élevé,Mon ménage ne possède pas ce type de véhicule,Mon ménage ne possède pas ce type de véhicule,Mon ménage ne possède pas ce type de véhicule,Mon ménage ne possède pas ce type de véhicule,Mon ménage ne possède pas ce type de véhicule,Mon ménage ne possède pas ce type de véhicule,Mon ménage ne possède pas ce type de véhicule,Non,,Moins de 5 minutes,Entre 5 et 10 minutes,Entre 5 et 10 minutes,Entre 10 et 15 minutes,Oui,Non,"Oui, tout le temps",Oui,1 fois par semaine,,Jamais,,,,,Jamais,Jamais,Tous les jours ou presque,1 fois par semaine,2 à 3 fois par mois,Tous les jours ou presque,,,,,,,,,,,,,,,,Je n'apprécie pas les marques de VTC,,,,,,,,,,,,Exceptionnellement,Souvent,Souvent,Exceptionnellement,Jamais,Exceptionnellement,Souvent,Souvent,Souvent,A chaque fois,Souvent,Si aucune autre offre de transport n'est disponible seulement,,,,Equipement en sièges pour enfants,,,,,,,,,,,,,,Je n'envisage pas de changements particuliers,,,,,,,,,,,,Non,,,,,Non,,,,,Je ne souhaite pas répondre,En recherche d'emploi,18-29 ans,Aire urbaine de plus de 200 000 habitants (hors Paris),0.408923736
Une femme,,18,Baccalauréat,,Etudiant.e,,Autre,parents,5.0,3.0,1.0,Il y a moins de 12 mois,Non,Ailleurs à l'étranger,,Oui,Bolt,,40,Elevé,20,Adéquat,1,1,Mon ménage ne possède pas ce type de véhicule,3 ou plus,Mon ménage ne possède pas ce type de véhicule,2,Mon ménage ne possède pas ce type de véhicule,Non,,Moins de 5 minutes,Entre 15 et 20 minutes,Moins de 5 minutes,Moins de 5 minutes,Oui,Non,"Oui, tout le temps",Oui,Tous les jours ou presque,,Jamais,,,,Moins d'une fois par mois,Jamais,Jamais,1 fois par semaine,Moins d'une fois par mois,Moins d'une fois par mois,1 fois par semaine,"Faire une sortie de loisir ou culturelle (restaurant, boîte de nuit, complexe sportif, musée, plage…)",,Plus de 35 €,Entre 15 et 20 minutes,La marche à pied,,,,Oui,La marche à pied,,"C'était plus sûr (pour arriver à l'heure, pour arriver sans me perdre...)",C'était plus rapide,"C’était plus pratique (j’avais des bagages, …)",,,,,,Je préfère d’autres moyens de transport,,,,,,,,Jamais,Exceptionnellement,Jamais,Jamais,Jamais,Exceptionnellement,Jamais,Exceptionnellement,Jamais,Exceptionnellement,Jamais,Si aucune autre offre de transport n'est disponible seulement,,,,Aucun service supplémentaire,,,,,,,,,,,,,,Je n'envisage pas de changements particuliers,,Je ne sais pas,Ne se prononce pas,Pas d'accord du tout,Pas d'accord du tout,Pas d'accord du tout,Plutôt d'accord,Plutôt d'accord,Ne se prononce pas,Pas d'accord du tout,Ne se prononce pas,Je ne sais pas,Aire urbaine de Paris,Dans la ville-centre d'une agglomération,,Aussi bien desservie,Oui,J’adapterai mes horaires de déplacement,J’utiliserai davantage les transports en commun,,,Plus de 12 000 €,Inactifs et autres (hors retraités),18-29 ans,Aire urbaine de Paris,1.046426634
Un homme,,51,Bac + 5 (Master),,Actif.ve en recherche d'emploi,"Artisan.e, Commerçant.e, Chef.fe d'entreprise",En couple avec enfant(s),,4.0,2.0,0.0,Je n'en ai jamais utilisé,,,,,,,20,Faible,35,Adéquat,3 ou plus,Mon ménage ne possède pas ce type de véhicule,2,3 ou plus,Mon ménage ne possède pas ce type de véhicule,2,Mon ménage ne possède pas ce type de véhicule,"Oui, permis A (motos et scooters)","Oui, permis B",Entre 10 et 15 minutes,Il n'en existe pas à proximité de mon domicile,Il n'en existe pas à proximité de mon domicile,Il n'en existe pas à proximité de mon domicile,Non,Non,Je ne sais pas,Oui,2 à 3 fois par semaine,2 à 3 fois par semaine,2 à 3 fois par semaine,Jamais,1 fois par semaine,Jamais,2 à 3 fois par mois,Jamais,Jamais,Moins d'une fois par mois,Moins d'une fois par mois,Jamais,1 fois par semaine,,,,,,,,,,,,,,,,Autre,,,Pas utile,,,,,,,,,Jamais,Jamais,Jamais,Jamais,Jamais,Jamais,Jamais,Jamais,Jamais,Jamais,Jamais,Si aucune autre offre de transport n'est disponible seulement,,,,Embarquement d’un vélo ou d’un autre équipement encombrant,,,,,,,,,,,,,,Je n'envisage pas de changements particuliers,,Non,,,,,,,,,,Non,,,,,Oui,J'adapterai mon ou mes véhicule(s) ou en changerai,,,,De 5 000 € à 6 000 €,En recherche d'emploi,50-59 ans,Aire urbaine de plus de 200 000 habitants (hors Paris),0.418071966
Un homme,,33,Bac + 4 (Maîtrise),,Actif.ve à temps plein (+32 h / semaine),"Cadre, Profession intellectuelle supérieure",En couple avec enfant(s),,5.0,3.0,3.0,Il y a plus de 12 mois,Oui,Agglomération parisienne,,Oui,LeCab,,20,Adéquat,15,Adéquat,1,1,Mon ménage ne possède pas ce type de véhicule,Mon ménage ne possède pas ce type de véhicule,Mon ménage ne possède pas ce type de véhicule,Mon ménage ne possède pas ce type de véhicule,1,"Oui, permis A (motos et scooters)","Oui, permis B",Entre 5 et 10 minutes,Entre 10 et 15 minutes,Entre 10 et 15 minutes,Plus de 20 minutes,Oui,Non,"Oui, tout le temps",Oui,2 à 3 fois par mois,Tous les jours ou presque,Tous les jours ou presque,Moins d'une fois par mois,,Jamais,,Jamais,Jamais,2 à 3 fois par mois,Moins d'une fois par mois,2 à 3 fois par semaine,2 à 3 fois par semaine,Faire des courses ou des achats,,Entre 15 et 20 €,Entre 15 et 20 minutes,"Un(e) voiture, moto ou scooter personnel(le)",,,,Non,,,,,,,,,,,Autre,,,I use my car,,,,,Exceptionnellement,Exceptionnellement,Exceptionnellement,Exceptionnellement,Exceptionnellement,Exceptionnellement,Exceptionnellement,Exceptionnellement,Exceptionnellement,Exceptionnellement,Exceptionnellement,Ça me permet de me déplacer facilement avec des proches,Service de meilleure qualité par rapport à d'autres moyens de transport,Service de meilleur rapport qualité/prix par rapport aux taxis,,Acceptation des animaux à bord,"Aide au déménagement, pour le transport de mes effets personnels",,,,,,,,,,,,,J'utiliserai davantage les services de taxi ou de VTC,,Oui,Plutôt pas d'accord,Plutôt pas d'accord,Plutôt pas d'accord,Plutôt pas d'accord,Plutôt pas d'accord,Plutôt pas d'accord,Plutôt pas d'accord,Plutôt pas d'accord,Plutôt pas d'accord,Non,,,,,Non,,,,,Plus de 12 000 €,"Cadre, Profession intellectuelle supérieure",30-39 ans,Aire urbaine de Paris,0.877902741
Un homme,,46,Bac + 5 (Master),,Actif.ve à temps plein (+32 h / semaine),"Cadre, Profession intellectuelle supérieure",En couple avec enfant(s),,5.0,3.0,0.0,Je n'en ai jamais utilisé,,,,,,,15,Adéquat,25,Elevé,1,Mon ménage ne possède pas ce type de véhicule,Mon ménage ne possède pas ce type de véhicule,2,2,Mon ménage ne possède pas ce type de véhicule,Mon ménage ne possède pas ce type de véhicule,"Oui, permis B",,Il n'en existe pas à proximité de mon domicile,Il n'en existe pas à proximité de mon domicile,Il n'en existe pas à proximité de mon domicile,Entre 5 et 10 minutes,Non,Non,Non,Oui,2 à 3 fois par semaine,2 à 3 fois par semaine,Moins d'une fois par mois,Jamais,,,2 à 3 fois par semaine,Jamais,Jamais,Jamais,Jamais,Jamais,1 fois par mois,,,,,,,,,,,,,,,,Le service n’est pas disponible dans les lieux que je fréquente ou que j'ai fréquentés,Je préfère d'autres moyens de transport,,,,,,,,,,,Jamais,Jamais,Jamais,Jamais,Jamais,Exceptionnellement,Jamais,Exceptionnellement,Jamais,Jamais,Jamais,Si aucune autre offre de transport n'est disponible seulement,,,,Equipement en sièges pour enfants,,,,,,,,,,,,,,J'utiliserai davantage le vélo ou marcherai plus,,Non,,,,,,,,,,Non,,,,,Non,,,,,De 8 000 € à 9 000 €,"Cadre, Profession intellectuelle supérieure",40-49 ans,Aire urbaine de moins de 100 000 habitants,0.910468596
Un homme,,48,Supérieur à Bac + 5,,Actif.ve à temps partiel (-32 h / semaine),Profession intermédiaire,En couple avec enfant(s),,4.0,2.0,2.0,Je n'en ai jamais utilisé,,,,,,,6,Adéquat,15,Elevé,3 ou plus,Mon ménage ne possède pas ce type de véhicule,Mon ménage ne possède pas ce type de véhicule,3 ou plus,2,1,Mon ménage ne possède pas ce type de véhicule,"Oui, permis A (motos et scooters)","Oui, permis B",Il n'en existe pas à proximité de mon domicile,Il n'en existe pas à proximité de mon domicile,Il n'en existe pas à proximité de mon domicile,Il n'en existe pas à proximité de mon domicile,Je ne réside pas dans un lieu pourvu d'un réseau de transports en commun,Non,Non,Non,Tous les jours ou presque,Tous les jours ou presque,2 à 3 fois par mois,Jamais,,Jamais,Tous les jours ou presque,Jamais,Jamais,Jamais,Jamais,Jamais,1 fois par mois,,,,,,,,,,,,,,,,Le service n’est pas disponible dans les lieux que je fréquente ou que j'ai fréquentés,,,,,,,,,,,,Jamais,Exceptionnellement,Exceptionnellement,Jamais,Exceptionnellement,Souvent,Souvent,Souvent,Jamais,Exceptionnellement,Exceptionnellement,Service de meilleur rapport qualité/prix par rapport aux taxis,,,,Déplacement pour raison médicale remboursé par l’assurance maladie,Embarquement d’un vélo ou d’un autre équipement encombrant,,,,,,,,,,,,,J'utiliserai davantage le vélo ou marcherai plus,,Non,,,,,,,,,,Non,,,,,Non,,,,,De 8 000 € à 9 000 €,Profession intermédiaire,40-49 ans,Aire urbaine de moins de 100 000 habitants,0.87764326
Un homme,,21,Bac + 4 (Maîtrise),,Etudiant.e,,Autre,Chez mes parents,3.0,0.0,0.0,Je n'en ai jamais utilisé,,,,,,,25,Elevé,35,Très élevé,3 ou plus,Mon ménage ne possède pas ce type de véhicule,Mon ménage ne possède pas ce type de véhicule,3 ou plus,Mon ménage ne possède pas ce type de véhicule,Mon ménage ne possède pas ce type de véhicule,Mon ménage ne possède pas ce type de véhicule,"Oui, permis B",,Entre 10 et 15 minutes,Il n'en existe pas à proximité de mon domicile,Il n'en existe pas à proximité de mon domicile,Il n'en existe pas à proximité de mon domicile,Non,Non,Non,Non,Jamais,Tous les jours ou presque,Moins d'une fois par mois,Jamais,,,Jamais,Jamais,Jamais,Jamais,Jamais,Jamais,Tous les jours ou presque,,,,,,,,,,,,,,,,Le service n’est pas disponible dans les lieux que je fréquente ou que j'ai fréquentés,Je préfère d'autres moyens de transport,,,,,,,,,,,Exceptionnellement,Jamais,Jamais,Jamais,Exceptionnellement,Exceptionnellement,Exceptionnellement,Exceptionnellement,Jamais,Jamais,Jamais,Si aucune autre offre de transport n'est disponible seulement,,,,Transport de personnes à mobilité réduite (PMR) ou en situation de handicap,Acceptation des animaux à bord,,,,,,,,,,,,,J'utiliserai davantage une voiture ou un deux-roues motorisé personnel(le),,Non,,,,,,,,,,Je ne sais pas,Aire urbaine de 100 000 à 200 000 habitants,En deuxième couronne d'une agglomération,,Mieux desservie,Non,,,,,De 3 000 à 4 000 €,Inactifs et autres (hors retraités),18-29 ans,Aire urbaine de plus de 200 000 habitants (hors Paris),1.209308277
Une femme,,25,Baccalauréat,,Sans activité professionnelle,,En couple avec enfant(s),,5.0,0.0,3.0,Je n'en ai jamais utilisé,,,,,,,10,Faible,40,Elevé,2,Mon ménage ne possède pas ce type de véhicule,Mon ménage ne possède pas ce type de véhicule,Mon ménage ne possède pas ce type de véhicule,Mon ménage ne possède pas ce type de véhicule,1,Mon ménage ne possède pas ce type de véhicule,Non,,Entre 5 et 10 minutes,Entre 5 et 10 minutes,Entre 10 et 15 minutes,Moins de 5 minutes,Non,Non,Je ne sais pas,Oui,Tous les jours ou presque,,Jamais,,,,,Jamais,Jamais,1 fois par mois,Jamais,Jamais,1 fois par semaine,,,,,,,,,,,,,,,,C'est trop compliqué à utiliser,,,,,,,,,,,,Jamais,Jamais,Souvent,Jamais,Jamais,Jamais,Jamais,Jamais,A chaque fois,Jamais,Jamais,Ça me permet de me déplacer facilement avec des proches,,,,Equipement en sièges pour enfants,,,,,,,,,,,,,,J'utiliserai davantage les transports en commun,,Je ne sais pas,Plutôt d'accord,Plutôt pas d'accord,Tout à fait d'accord,Ne se prononce pas,Plutôt d'accord,Plutôt d'accord,Plutôt d'accord,Plutôt d'accord,Plutôt d'accord,Non,,,,,Non,,,,,Moins de 1 000 €,Inactifs et autres (hors retraités),18-29 ans,Aire urbaine entre 100 000 et 200 000 habitants,0.809903998
Une femme,,22,Bac + 3 (Licence),,Etudiant.e,,En colocation,,5.0,2.0,1.0,Il y a plus de 12 mois,Oui,,,Oui,Uber,,25,Elevé,35,Très élevé,3 ou plus,Mon ménage ne possède pas ce type de véhicule,Mon ménage ne possède pas ce type de véhicule,Mon ménage ne possède pas ce type de véhicule,Mon ménage ne possède pas ce type de véhicule,Mon ménage ne possède pas ce type de véhicule,Mon ménage ne possède pas ce type de véhicule,"Oui, permis B",,Entre 10 et 15 minutes,Plus de 20 minutes,Entre 5 et 10 minutes,Entre 10 et 15 minutes,Oui,Non,"Oui, seulement à certaines périodes de l'année",Je ne sais pas,Tous les jours ou presque,Jamais,Tous les jours ou presque,Jamais,,,,Moins d'une fois par mois,Jamais,Tous les jours ou presque,Jamais,2 à 3 fois par mois,2 à 3 fois par semaine,Rejoindre ou quitter une gare/un aéroport/une station de transports en commun,,Entre 30 et 35 €,Entre 20 et 30 minutes,La marche à pied,"Les transports en commun (métro, tram, bus, RER)","Le train (TER, Intercités, TGV)",,Non,,,,,,,,,,,Autre,Le service est trop cher,,Pas le besoin,,,,,Exceptionnellement,Exceptionnellement,Souvent,Souvent,Jamais,A chaque fois,Exceptionnellement,Souvent,Souvent,A chaque fois,Exceptionnellement,Service de meilleure qualité par rapport à d'autres moyens de transport,Service de meilleur rapport qualité/prix par rapport aux taxis,,,"Aide au déménagement, pour le transport de mes effets personnels",,,,,,,,,,,,,,Je n'envisage pas de changements particuliers,,Je ne sais pas,Ne se prononce pas,Ne se prononce pas,Ne se prononce pas,Ne se prononce pas,Ne se prononce pas,Ne se prononce pas,Ne se prononce pas,Ne se prononce pas,Ne se prononce pas,Non,,,,,Non,,,,,De 1 000 € à 2 000 €,Inactifs et autres (hors retraités),18-29 ans,Aire urbaine de plus de 200 000 habitants (hors Paris),1.020595013
Une femme,,23,Bac + 3 (Licence),,Etudiant.e,,Autre,A titre gratuit chez mes parents,6.0,3.0,1.0,Je n'en ai jamais utilisé,,,,,,,30,Elevé,30,Elevé,3 ou plus,Mon ménage ne possède pas ce type de véhicule,Mon ménage ne possède pas ce type de véhicule,2,Mon ménage ne possède pas ce type de véhicule,1,Mon ménage ne possède pas ce type de véhicule,"Oui, permis B",,Il n'en existe pas à proximité de mon domicile,Il n'en existe pas à proximité de mon domicile,Il n'en existe pas à proximité de mon domicile,Il n'en existe pas à proximité de mon domicile,Je ne réside pas dans un lieu pourvu d'un réseau de transports en commun,Non,Je ne sais pas,Non,Moins d'une fois par mois,Tous les jours ou presque,2 à 3 fois par semaine,Jamais,,,Jamais,Jamais,Jamais,2 à 3 fois par mois,Jamais,Jamais,2 à 3 fois par semaine,,,,,,,,,,,,,,,,,,,,,,,,,,,,Exceptionnellement,Exceptionnellement,Jamais,Exceptionnellement,Exceptionnellement,Exceptionnellement,Exceptionnellement,Souvent,Jamais,Exceptionnellement,Jamais,Si aucune autre offre de transport n'est disponible seulement,,,,Aucun service supplémentaire,,,,,,,,,,,,,,Je n'envisage pas de changements particuliers,,Non,,,,,,,,,,Je ne sais pas,Aire urbaine de moins de 100 000 habitants,En première couronne d'une agglomération,,Mieux desservie,Je ne sais pas,,,,,De 2 000 € à 3 000 €,Inactifs et autres (hors retraités),18-29 ans,Aire urbaine de plus de 200 000 habitants (hors Paris),1.020595013
Une femme,,20,Baccalauréat,,Actif.ve à temps partiel (-32 h / semaine),Employé.e,Autre,Chez mes parents,5.0,2.0,0.0,Je n'en ai jamais utilisé,,,,,,,20,Elevé,20,Elevé,3 ou plus,Mon ménage ne possède pas ce type de véhicule,3 ou plus,2,Mon ménage ne possède pas ce type de véhicule,Mon ménage ne possède pas ce type de véhicule,Mon ménage ne possède pas ce type de véhicule,"Oui, permis B",,Entre 10 et 15 minutes,Il n'en existe pas à proximité de mon domicile,Il n'en existe pas à proximité de mon domicile,Il n'en existe pas à proximité de mon domicile,Non,Non,Non,Je ne sais pas,2 à 3 fois par semaine,Tous les jours ou presque,2 à 3 fois par semaine,Jamais,,,Jamais,Jamais,Jamais,Jamais,Jamais,Jamais,Moins d'une fois par mois,,,,,,,,,,,,,,,,Le service n’est pas disponible dans les lieux que je fréquente ou que j'ai fréquentés,,,,,,,,,,,,Jamais,Jamais,Jamais,Exceptionnellement,Jamais,Exceptionnellement,Exceptionnellement,Exceptionnellement,Jamais,Jamais,Jamais,Si aucune autre offre de transport n'est disponible seulement,,,,Déplacement pour raison médicale remboursé par l’assurance maladie,Equipement en sièges pour enfants,Acceptation des animaux à bord,,,,,,,,,,,,J'utiliserai davantage une voiture ou un deux-roues motorisé personnel(le),,Je ne sais pas,Plutôt pas d'accord,Pas d'accord du tout,Pas d'accord du tout,Pas d'accord du tout,Plutôt d'accord,Pas d'accord du tout,Pas d'accord du tout,Pas d'accord du tout,Pas d'accord du tout,Oui,Hors aire urbaine (zones rurales),,,Moins bien desservie,Non,,,,,Je ne souhaite pas répondre,Employé.e,18-29 ans,Aire urbaine de moins de 100 000 habitants,0.929183694
Une femme,,27,Brevet des collèges,,Sans activité professionnelle,,Autre,Chez ma mère,2.0,0.0,0.0,Je n'en ai jamais utilisé,,,,,,,150,Très élevé,300,Très élevé,Mon ménage ne possède pas ce type de véhicule,Mon ménage ne possède pas ce type de véhicule,Mon ménage ne possède pas ce type de véhicule,Mon ménage ne possède pas ce type de véhicule,Mon ménage ne possède pas ce type de véhicule,Mon ménage ne possède pas ce type de véhicule,Mon ménage ne possède pas ce type de véhicule,Non,,Entre 10 et 15 minutes,Il n'en existe pas à proximité de mon domicile,Il n'en existe pas à proximité de mon domicile,Entre 15 et 20 minutes,Non,Non,Je ne sais pas,Oui,Tous les jours ou presque,,Jamais,,,,,Jamais,Jamais,Moins d'une fois par mois,Jamais,Jamais,Jamais,,,,,,,,,,,,,,,,Le service est trop cher,Le service n’est pas disponible dans les lieux que je fréquente ou que j'ai fréquentés,Je préfère d'autres moyens de transport,,,,,,,,,,Jamais,Jamais,Jamais,Jamais,Jamais,Jamais,Jamais,Jamais,Jamais,Jamais,Jamais,Si aucune autre offre de transport n'est disponible seulement,Ça me permet de me déplacer facilement avec des proches,Ça me permet de me déplacer avec mon animal de compagnie,,Déplacement pour raison médicale remboursé par l’assurance maladie,Acceptation des animaux à bord,Embarquement d’un vélo ou d’un autre équipement encombrant,,,,,,,,,,,,J'utiliserai davantage une voiture ou un deux-roues motorisé personnel(le),,,,,,,,,,,,Oui,Aire urbaine de moins de 100 000 habitants,Dans la ville-centre d'une agglomération,,Je ne sais pas,Je ne sais pas,,,,,Moins de 1 000 €,Inactifs et autres (hors retraités),18-29 ans,Aire urbaine de moins de 100 000 habitants,1.049357638
Une femme,,38,"CAP, BEP",,Actif.ve en recherche d'emploi,Employé.e,Seul.e avec enfant(s),,2.0,1.0,1.0,Je n'en ai jamais utilisé,,,,,,,12,Elevé,30,Adéquat,1,Mon ménage ne possède pas ce type de véhicule,Mon ménage ne possède pas ce type de véhicule,Mon ménage ne possède pas ce type de véhicule,Mon ménage ne possède pas ce type de véhicule,Mon ménage ne possède pas ce type de véhicule,Mon ménage ne possède pas ce type de véhicule,"Oui, permis B",,Entre 5 et 10 minutes,Il n'en existe pas à proximité de mon domicile,Il n'en existe pas à proximité de mon domicile,Il n'en existe pas à proximité de mon domicile,Non,Non,Je ne sais pas,Je ne sais pas,2 à 3 fois par semaine,2 à 3 fois par semaine,Jamais,Jamais,,,,Jamais,Jamais,Jamais,Jamais,Jamais,Moins d'une fois par mois,,,,,,,,,,,,,,,,Je ne connais pas ce service,,,,,,,,,,,,Jamais,Jamais,Jamais,Jamais,Jamais,Jamais,Jamais,Jamais,Jamais,Exceptionnellement,Jamais,Ça me permet de me déplacer plus facilement en tant que personne à mobilité réduite,,,,Transport de personnes à mobilité réduite (PMR) ou en situation de handicap,,,,,,,,,,,,,,Je n'envisage pas de changements particuliers,,Oui,Plutôt pas d'accord,Plutôt pas d'accord,Plutôt pas d'accord,Tout à fait d'accord,Tout à fait d'accord,Pas d'accord du tout,Pas d'accord du tout,Pas d'accord du tout,Pas d'accord du tout,Oui,Aire urbaine de moins de 100 000 habitants,En zone périurbaine d'une agglomération,,Moins bien desservie,Je ne sais pas,,,,,De 1 000 € à 2 000 €,En recherche d'emploi,30-39 ans,Aire urbaine de Paris,0.31015662
Une femme,,57,Bac + 4 (Maîtrise),,Actif.ve à temps plein (+32 h / semaine),"Cadre, Profession intellectuelle supérieure",Seul.e avec enfant(s),,2.0,1.0,0.0,Il y a plus de 12 mois,Oui,,,Oui,Je ne sais plus,,20,Adéquat,25,Elevé,Mon ménage ne possède pas ce type de véhicule,Mon ménage ne possède pas ce type de véhicule,Mon ménage ne possède pas ce type de véhicule,Mon ménage ne possède pas ce type de véhicule,Mon ménage ne possède pas ce type de véhicule,1,Mon ménage ne possède pas ce type de véhicule,"Oui, permis B",,Moins de 5 minutes,Entre 10 et 15 minutes,Moins de 5 minutes,Plus de 20 minutes,Non,Non,"Oui, tout le temps",Oui,Tous les jours ou presque,,Jamais,Moins d'une fois par mois,,,,2 à 3 fois par semaine,Jamais,2 à 3 fois par semaine,Moins d'une fois par mois,Jamais,1 fois par mois,"Accéder à des services (médicaux, administratifs...)",,Je ne sais plus,Entre 20 et 30 minutes,La marche à pied,,,,Oui,"Les transports en commun (métro, tram, bus, RER, TER)",,Autre,,,retour suite à un accident,,,,,Je n'apprécie pas les marques de VTC,Je préfère d’autres moyens de transport,Autre,je marche et prend s les transports en commun ou velib,,,,,Jamais,Exceptionnellement,Jamais,Jamais,Jamais,Jamais,Jamais,Jamais,Jamais,Jamais,Jamais,Si aucune autre offre de transport n'est disponible seulement,Autre,,je privilegie les transports en commun,"Aide au déménagement, pour le transport de mes effets personnels",Déplacement pour raison médicale remboursé par l’assurance maladie,,,,,,,,,,,,,Je n'envisage pas de changements particuliers,,,,,,,,,,,,Non,,,,,Je ne sais pas,,,,,De 2 000 € à 3 000 €,"Cadre, Profession intellectuelle supérieure",50-59 ans,Aire urbaine de Paris,0.864180718
